student_answer,teacher_answer,label,index
By letting it sit in a dish for a day.,"The water was evaporated, leaving the salt.",0,25
Let the water evaporate and the salt is left behind.,"The water was evaporated, leaving the salt.",1,25
The water evaporated and left salt crystals.,"The water was evaporated, leaving the salt.",1,25
I saw a pinkish grayish color that was blocking the water.,"The water was evaporated, leaving the salt.",0,25
You have to slowly tip the vial for only the water to go.,"The water was evaporated, leaving the salt.",0,25
"By pouring the water and salt into the thing, and letting the water evaporate.","The water was evaporated, leaving the salt.",1,25
By slowly pouring it in a tray.,"The water was evaporated, leaving the salt.",0,25
The water evaporated so there was only salt left.,"The water was evaporated, leaving the salt.",1,25
We put the water with the salt in it and put it outside for the water to evaporate.,"The water was evaporated, leaving the salt.",1,25
I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,"The water was evaporated, leaving the salt.",0,25
Because you can see salt in water.,"The water was evaporated, leaving the salt.",0,25
I let the water evaporate.,"The water was evaporated, leaving the salt.",1,25
The water dried up and left the salt.,"The water was evaporated, leaving the salt.",1,25
We let the water evaporate.,"The water was evaporated, leaving the salt.",1,25
The water dried up.,"The water was evaporated, leaving the salt.",1,25
You just get water and the smashed mock rock and put the smashed rock and water together.,"The water was evaporated, leaving the salt.",0,25
"You put the water, a little bit, in a cup and leave it overnight.","The water was evaporated, leaving the salt.",0,25
We evaporated the salt from the water because the water evaporated and separated.,"The water was evaporated, leaving the salt.",1,25
We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.,"The water was evaporated, leaving the salt.",1,25
We poured the salt into a Petri dish and poured the water out.,"The water was evaporated, leaving the salt.",0,25
By the Petri dish.,"The water was evaporated, leaving the salt.",0,25
By putting water in a Petri dish and letting the water evaporate.,"The water was evaporated, leaving the salt.",1,25
Poured the top of the vial out.,"The water was evaporated, leaving the salt.",0,25
The salt dissolved and the water evaporated and the salt went to the bottom.,"The water was evaporated, leaving the salt.",1,25
We put it in a evaporation dish and the water evaporated.,"The water was evaporated, leaving the salt.",1,25
I put it on the evaporating dish.,"The water was evaporated, leaving the salt.",1,25
By pouring the water into the salt.,"The water was evaporated, leaving the salt.",0,25
We poured the water out of the bottle.,"The water was evaporated, leaving the salt.",0,25
Letting the water evaporate.,"The water was evaporated, leaving the salt.",1,25
Put it on a dish and then the water gets in the air and the salt stays.,"The water was evaporated, leaving the salt.",1,25
I do not know.,"The water was evaporated, leaving the salt.",0,25
The salt separated with the water because the salt was heavier but the water was not even heavy.,"The water was evaporated, leaving the salt.",0,25
We put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,"The water was evaporated, leaving the salt.",1,25
I put some water in a dish and let the water evaporate so the salt would stay.,"The water was evaporated, leaving the salt.",1,25
Evaporate.,"The water was evaporated, leaving the salt.",0,25
The crystals were salt.,"The water was evaporated, leaving the salt.",0,25
We used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.,The crystals were square with Xs on the surface.,0,8
You take a look through the magnifying glass.,The crystals were square with Xs on the surface.,0,8
Because of the paper we looked at.,The crystals were square with Xs on the surface.,0,8
We looked at a piece of paper and one of the pictures looked like the crystals.,The crystals were square with Xs on the surface.,0,8
They will not shine.,The crystals were square with Xs on the surface.,0,8
They were square like salt.,The crystals were square with Xs on the surface.,1,8
We knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.,The crystals were square with Xs on the surface.,0,8
It said so on a paper.,The crystals were square with Xs on the surface.,0,8
Because it was at it because we had a chart that could tell us that.,The crystals were square with Xs on the surface.,0,8
They looked like salt.,The crystals were square with Xs on the surface.,0,8
We got a sheet with different kinds of crystals. So I looked for the same picture like the crystal and it said Kosher salt.,The crystals were square with Xs on the surface.,1,8
The teacher told us.,The crystals were square with Xs on the surface.,0,8
Because salt is made up of little crystals.,The crystals were square with Xs on the surface.,0,8
Because salt look like little pieces of a crystal.,The crystals were square with Xs on the surface.,0,8
I knew because they were shaped like kosher salt.,The crystals were square with Xs on the surface.,1,8
I knew the crystals were salt by the movie we watched.,The crystals were square with Xs on the surface.,0,8
Because flour does not turn into crystals.,The crystals were square with Xs on the surface.,0,8
Because salt is a crystal.,The crystals were square with Xs on the surface.,0,8
"Because it has a X in the middle, and salt was in it.",The crystals were square with Xs on the surface.,0,8
The crystals are kosher salt and kosher salt is salt!,The crystals were square with Xs on the surface.,0,8
By looking at the crystal identification sheet.,The crystals were square with Xs on the surface.,0,8
Because we measured them.,The crystals were square with Xs on the surface.,0,8
Because it was so shiny.,The crystals were square with Xs on the surface.,0,8
They were powdery.,The crystals were square with Xs on the surface.,0,8
Because there were little shining things inside and I knew it was salt.,The crystals were square with Xs on the surface.,0,8
Because we learned it because it was white that is how we knew.,The crystals were square with Xs on the surface.,0,8
I would know that the crystals were salt is the way how it looks.,The crystals were square with Xs on the surface.,0,8
We poured the water we left it alone for 2 days and they dry up.,The crystals were square with Xs on the surface.,0,8
After the water dried we noticed it was Kosher salt.,The crystals were square with Xs on the surface.,0,8
By breaking the rock.,The crystals were square with Xs on the surface.,0,8
Because it tastes like salt.,The crystals were square with Xs on the surface.,0,8
Because crystals are a kind of salt.,The crystals were square with Xs on the surface.,0,8
I looked at them really closely and they looked like crystals and diamonds.,The crystals were square with Xs on the surface.,1,8
Because we looked in the magnifying glass.,The crystals were square with Xs on the surface.,0,8
I knew the crystals were salt because of the patterns and shapes.,The crystals were square with Xs on the surface.,1,8
I looked at the chart.,The crystals were square with Xs on the surface.,0,8
Topaz is harder because it would be all no on the chart.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
Topaz is harder. Because topaz is the hardest birthstone.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,1,49
M to Z is harder than mineral X and Y.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,0,49
