wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_bill,q_stemmed_has_degre,q_stemmed_has_celsiu,q_stemmed_has_28,q_stemmed_has_warm,q_stemmed_has_temperatur,q_stemmed_has_bill_degre,q_stemmed_has_degre_celsiu,q_stemmed_has_celsiu_28,q_stemmed_has_28_warm,q_stemmed_has_warm_temperatur,q_stemmed_has_bill_degre_celsiu,q_stemmed_has_degre_celsiu_28,q_stemmed_has_celsiu_28_warm,q_stemmed_has_28_warm_temperatur,q_stem_ordered_has_28,q_stem_ordered_has_bill,q_stem_ordered_has_celsiu,q_stem_ordered_has_degre,q_stem_ordered_has_temperatur,q_stem_ordered_has_warm,q_stem_ordered_has_28_bill,q_stem_ordered_has_bill_celsiu,q_stem_ordered_has_celsiu_degre,q_stem_ordered_has_degre_temperatur,q_stem_ordered_has_temperatur_warm,q_stem_ordered_has_28_bill_celsiu,q_stem_ordered_has_bill_celsiu_degre,q_stem_ordered_has_celsiu_degre_temperatur,q_stem_ordered_has_degre_temperatur_warm
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0.4000000000000001,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
