wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_motor,q_stemmed_has_run,q_stemmed_has_object,q_stemmed_has_conductor,q_stemmed_has_motor_run,q_stemmed_has_run_object,q_stemmed_has_object_conductor,q_stemmed_has_motor_run_object,q_stemmed_has_run_object_conductor,q_stem_ordered_has_conductor,q_stem_ordered_has_motor,q_stem_ordered_has_object,q_stem_ordered_has_run,q_stem_ordered_has_conductor_motor,q_stem_ordered_has_motor_object,q_stem_ordered_has_object_run,q_stem_ordered_has_conductor_motor_object,q_stem_ordered_has_motor_object_run
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.16666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.5,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.5,0.8,0.6,0.75,0.8,0.6,0.75,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
0.9999999999999999,1.0,0.5714285714285714,0.7559,1.0,0.5714285714285714,0.7559,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1
0.16666666666666666,0.5,0.5,0.7071,0.5,0.5,0.7071,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.8333333333333334,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.6666666666666666,1.0,0.8,0.8944,1.0,0.8,0.8944,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.16666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6666666666666666,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.6666666666666666,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
