wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_loop,q_stemmed_has_begin,q_stemmed_has_opposit,q_stemmed_has_side,q_stemmed_has_print,q_stemmed_has_loop_begin,q_stemmed_has_begin_opposit,q_stemmed_has_opposit_side,q_stemmed_has_side_print,q_stemmed_has_loop_begin_opposit,q_stemmed_has_begin_opposit_side,q_stemmed_has_opposit_side_print,q_stem_ordered_has_begin,q_stem_ordered_has_loop,q_stem_ordered_has_opposit,q_stem_ordered_has_print,q_stem_ordered_has_side,q_stem_ordered_has_begin_loop,q_stem_ordered_has_loop_opposit,q_stem_ordered_has_opposit_print,q_stem_ordered_has_print_side,q_stem_ordered_has_begin_loop_opposit,q_stem_ordered_has_loop_opposit_print,q_stem_ordered_has_opposit_print_side
0.5,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.375,0.0,0.0,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.5555555555555556,0.1111111111111111,0.2,0.5555555555555556,0.1111111111111111,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5,0.375,0.0,0.0,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.75,0.375,0.0,0.0,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
