wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_launch,q_stemmed_has_posit,q_stemmed_has_line,q_stemmed_has_playground,q_stemmed_has_variabl,q_stemmed_has_control,q_stemmed_has_launch_posit,q_stemmed_has_posit_line,q_stemmed_has_line_playground,q_stemmed_has_playground_variabl,q_stemmed_has_variabl_control,q_stemmed_has_launch_posit_line,q_stemmed_has_posit_line_playground,q_stemmed_has_line_playground_variabl,q_stemmed_has_playground_variabl_control,q_stem_ordered_has_control,q_stem_ordered_has_launch,q_stem_ordered_has_line,q_stem_ordered_has_playground,q_stem_ordered_has_posit,q_stem_ordered_has_variabl,q_stem_ordered_has_control_launch,q_stem_ordered_has_launch_line,q_stem_ordered_has_line_playground,q_stem_ordered_has_playground_posit,q_stem_ordered_has_posit_variabl,q_stem_ordered_has_control_launch_line,q_stem_ordered_has_launch_line_playground,q_stem_ordered_has_line_playground_posit,q_stem_ordered_has_playground_posit_variabl
0.125,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.6153846153846154,0.07692307692307693,0.1443,0.6153846153846154,0.07692307692307693,0.1443,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.1,0.1826,0.5,0.1,0.1826,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
