wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_20,q_stemmed_has_centimet,q_stemmed_has_size,q_stemmed_has_10,q_stemmed_has_30,q_stemmed_has_temperatur,q_stemmed_has_chang,q_stemmed_has_contain,q_stemmed_has_6,q_stemmed_has_degre,q_stemmed_has_celsiu,q_stemmed_has_halfway,q_stemmed_has_20_centimet,q_stemmed_has_centimet_size,q_stemmed_has_size_10,q_stemmed_has_10_30,q_stemmed_has_30_centimet,q_stemmed_has_centimet_temperatur,q_stemmed_has_temperatur_chang,q_stemmed_has_chang_30,q_stemmed_has_centimet_contain,q_stemmed_has_contain_10,q_stemmed_has_10_centimet,q_stemmed_has_contain_6,q_stemmed_has_6_degre,q_stemmed_has_degre_celsiu,q_stemmed_has_celsiu_halfway,q_stemmed_has_20_centimet_size,q_stemmed_has_centimet_size_10,q_stemmed_has_size_10_30,q_stemmed_has_10_30_centimet,q_stemmed_has_30_centimet_temperatur,q_stemmed_has_centimet_temperatur_chang,q_stemmed_has_temperatur_chang_30,q_stemmed_has_chang_30_centimet,q_stemmed_has_30_centimet_contain,q_stemmed_has_centimet_contain_10,q_stemmed_has_contain_10_centimet,q_stemmed_has_10_centimet_contain,q_stemmed_has_centimet_contain_6,q_stemmed_has_contain_6_degre,q_stemmed_has_6_degre_celsiu,q_stemmed_has_degre_celsiu_halfway,q_stem_ordered_has_10,q_stem_ordered_has_20,q_stem_ordered_has_30,q_stem_ordered_has_6,q_stem_ordered_has_celsiu,q_stem_ordered_has_centimet,q_stem_ordered_has_chang,q_stem_ordered_has_contain,q_stem_ordered_has_degre,q_stem_ordered_has_halfway,q_stem_ordered_has_size,q_stem_ordered_has_temperatur,q_stem_ordered_has_10_10,q_stem_ordered_has_10_20,q_stem_ordered_has_20_30,q_stem_ordered_has_30_30,q_stem_ordered_has_30_6,q_stem_ordered_has_6_celsiu,q_stem_ordered_has_celsiu_centimet,q_stem_ordered_has_centimet_centimet,q_stem_ordered_has_centimet_chang,q_stem_ordered_has_chang_contain,q_stem_ordered_has_contain_contain,q_stem_ordered_has_contain_degre,q_stem_ordered_has_degre_halfway,q_stem_ordered_has_halfway_size,q_stem_ordered_has_size_temperatur,q_stem_ordered_has_10_10_20,q_stem_ordered_has_10_20_30,q_stem_ordered_has_20_30_30,q_stem_ordered_has_30_30_6,q_stem_ordered_has_30_6_celsiu,q_stem_ordered_has_6_celsiu_centimet,q_stem_ordered_has_celsiu_centimet_centimet,q_stem_ordered_has_centimet_centimet_centimet,q_stem_ordered_has_centimet_centimet_chang,q_stem_ordered_has_centimet_chang_contain,q_stem_ordered_has_chang_contain_contain,q_stem_ordered_has_contain_contain_degre,q_stem_ordered_has_contain_degre_halfway,q_stem_ordered_has_degre_halfway_size,q_stem_ordered_has_halfway_size_temperatur
0.5,0.47058823529411764,0.17647058823529413,0.3062,0.47058823529411764,0.17647058823529413,0.3062,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.375,0.47058823529411764,0.17647058823529413,0.3062,0.47058823529411764,0.17647058823529413,0.3062,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.21428571428571427,0.07142857142857142,0.1667,0.21428571428571427,0.07142857142857142,0.1667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5625,0.4666666666666667,0.26666666666666666,0.4364,0.4666666666666667,0.26666666666666666,0.4364,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1875,0.3125,0.0625,0.1291,0.3125,0.0625,0.1291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.3076923076923077,0.23076923076923078,0.433,0.3076923076923077,0.23076923076923078,0.433,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.4666666666666667,0.26666666666666666,0.4364,0.4666666666666667,0.26666666666666666,0.4364,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.3125,0.0625,0.1291,0.3125,0.0625,0.1291,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5625,0.5384615384615384,0.46153846153846156,0.6547,0.5384615384615384,0.46153846153846156,0.6547,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.25,0.3333333333333333,0.13333333333333333,0.2582,0.3333333333333333,0.13333333333333333,0.2582,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4375,0.47058823529411764,0.17647058823529413,0.3062,0.47058823529411764,0.17647058823529413,0.3062,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.3076923076923077,0.23076923076923078,0.433,0.3076923076923077,0.23076923076923078,0.433,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.21428571428571427,0.07142857142857142,0.1667,0.21428571428571427,0.07142857142857142,0.1667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
