wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_anna,q_stemmed_has_compar,q_stemmed_has_size,q_stemmed_has_greas,q_stemmed_has_spot,q_stemmed_has_sampl,q_stemmed_has_larger,q_stemmed_has_fat,q_stemmed_has_anna_compar,q_stemmed_has_compar_size,q_stemmed_has_size_greas,q_stemmed_has_greas_spot,q_stemmed_has_spot_sampl,q_stemmed_has_sampl_larger,q_stemmed_has_larger_greas,q_stemmed_has_spot_fat,q_stemmed_has_anna_compar_size,q_stemmed_has_compar_size_greas,q_stemmed_has_size_greas_spot,q_stemmed_has_greas_spot_sampl,q_stemmed_has_spot_sampl_larger,q_stemmed_has_sampl_larger_greas,q_stemmed_has_larger_greas_spot,q_stemmed_has_greas_spot_fat,q_stem_ordered_has_anna,q_stem_ordered_has_compar,q_stem_ordered_has_fat,q_stem_ordered_has_greas,q_stem_ordered_has_larger,q_stem_ordered_has_sampl,q_stem_ordered_has_size,q_stem_ordered_has_spot,q_stem_ordered_has_anna_compar,q_stem_ordered_has_compar_fat,q_stem_ordered_has_fat_greas,q_stem_ordered_has_greas_greas,q_stem_ordered_has_greas_larger,q_stem_ordered_has_larger_sampl,q_stem_ordered_has_sampl_size,q_stem_ordered_has_size_spot,q_stem_ordered_has_spot_spot,q_stem_ordered_has_anna_compar_fat,q_stem_ordered_has_compar_fat_greas,q_stem_ordered_has_fat_greas_greas,q_stem_ordered_has_greas_greas_larger,q_stem_ordered_has_greas_larger_sampl,q_stem_ordered_has_larger_sampl_size,q_stem_ordered_has_sampl_size_spot,q_stem_ordered_has_size_spot_spot
0.6666666666666666,0.7272727272727273,0.45454545454545453,0.625,0.7272727272727273,0.45454545454545453,0.625,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.5454545454545454,0.2727272727272727,0.433,0.5454545454545454,0.2727272727272727,0.433,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.25,0.3333333333333333,0.2222222222222222,0.4082,0.3333333333333333,0.2222222222222222,0.4082,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.25,0.4444444444444444,0.3333333333333333,0.5303,0.4444444444444444,0.3333333333333333,0.5303,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.5833333333333334,0.25,0.4009,0.5833333333333334,0.25,0.4009,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.25,0.36363636363636365,0.09090909090909091,0.1768,0.36363636363636365,0.09090909090909091,0.1768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7499999999999999,0.6428571428571429,0.21428571428571427,0.3536,0.6428571428571429,0.21428571428571427,0.3536,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333333,0.2222222222222222,0.1111111111111111,0.25,0.2222222222222222,0.1111111111111111,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
