wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_water,q_stemmed_has_evapor,q_stemmed_has_leav,q_stemmed_has_salt,q_stemmed_has_water_evapor,q_stemmed_has_evapor_leav,q_stemmed_has_leav_salt,q_stemmed_has_water_evapor_leav,q_stemmed_has_evapor_leav_salt,q_stem_ordered_has_evapor,q_stem_ordered_has_leav,q_stem_ordered_has_salt,q_stem_ordered_has_water,q_stem_ordered_has_evapor_leav,q_stem_ordered_has_leav_salt,q_stem_ordered_has_salt_water,q_stem_ordered_has_evapor_leav_salt,q_stem_ordered_has_leav_salt_water
0.375,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
0.5,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
0.625,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.375,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.75,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
0.25,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.8,0.6,0.75,0.8,0.6,0.75,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
0.5,0.8,0.6,0.75,0.8,0.6,0.75,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
0.625,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
