wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_ga,q_stemmed_has_carbon,q_stemmed_has_dioxid,q_stemmed_has_produc,q_stemmed_has_food,q_stemmed_has_contain,q_stemmed_has_acid,q_stemmed_has_ga_carbon,q_stemmed_has_carbon_dioxid,q_stemmed_has_dioxid_produc,q_stemmed_has_produc_food,q_stemmed_has_food_contain,q_stemmed_has_contain_acid,q_stemmed_has_acid_ga,q_stemmed_has_ga_produc,q_stemmed_has_ga_carbon_dioxid,q_stemmed_has_carbon_dioxid_produc,q_stemmed_has_dioxid_produc_food,q_stemmed_has_produc_food_contain,q_stemmed_has_food_contain_acid,q_stemmed_has_contain_acid_ga,q_stemmed_has_acid_ga_produc,q_stemmed_has_ga_produc_food,q_stem_ordered_has_acid,q_stem_ordered_has_carbon,q_stem_ordered_has_contain,q_stem_ordered_has_dioxid,q_stem_ordered_has_food,q_stem_ordered_has_ga,q_stem_ordered_has_produc,q_stem_ordered_has_acid_acid,q_stem_ordered_has_acid_carbon,q_stem_ordered_has_carbon_contain,q_stem_ordered_has_contain_contain,q_stem_ordered_has_contain_dioxid,q_stem_ordered_has_dioxid_food,q_stem_ordered_has_food_food,q_stem_ordered_has_food_ga,q_stem_ordered_has_ga_ga,q_stem_ordered_has_ga_produc,q_stem_ordered_has_produc_produc,q_stem_ordered_has_acid_acid_carbon,q_stem_ordered_has_acid_carbon_contain,q_stem_ordered_has_carbon_contain_contain,q_stem_ordered_has_contain_contain_dioxid,q_stem_ordered_has_contain_dioxid_food,q_stem_ordered_has_dioxid_food_food,q_stem_ordered_has_food_food_ga,q_stem_ordered_has_food_ga_ga,q_stem_ordered_has_ga_ga_produc,q_stem_ordered_has_ga_produc_produc
0.16666666666666669,0.3,0.0,0.0,0.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.4,0.1,0.189,0.4,0.1,0.189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.4,0.1,0.189,0.4,0.1,0.189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.5,0.08333333333333333,0.1543,0.5,0.08333333333333333,0.1543,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333333,0.125,0.0,0.0,0.125,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5,0.2,0.3381,0.5,0.2,0.3381,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999999999999999,0.6875,0.125,0.2279,0.6875,0.125,0.2279,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8333333333333333,0.6923076923076923,0.23076923076923078,0.378,0.6923076923076923,0.23076923076923078,0.378,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
