wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_greta,q_stemmed_has_andr,q_stemmed_has_differ,q_stemmed_has_size,q_stemmed_has_hand,q_stemmed_has_greta_andr,q_stemmed_has_andr_differ,q_stemmed_has_differ_size,q_stemmed_has_size_hand,q_stemmed_has_greta_andr_differ,q_stemmed_has_andr_differ_size,q_stemmed_has_differ_size_hand,q_stem_ordered_has_andr,q_stem_ordered_has_differ,q_stem_ordered_has_greta,q_stem_ordered_has_hand,q_stem_ordered_has_size,q_stem_ordered_has_andr_differ,q_stem_ordered_has_differ_greta,q_stem_ordered_has_greta_hand,q_stem_ordered_has_hand_size,q_stem_ordered_has_andr_differ_greta,q_stem_ordered_has_differ_greta_hand,q_stem_ordered_has_greta_hand_size
0.5,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0.5,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0.125,0.6,0.6,0.7746,0.6,0.6,0.7746,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0.5,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
0.125,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
0.125,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0.125,0.375,0.0,0.0,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.875,0.5,0.6761,0.875,0.5,0.6761,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
0.125,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
0.375,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.125,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.125,0.6,0.6,0.7746,0.6,0.6,0.7746,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0.0,0.4,0.4,0.6325,0.4,0.4,0.6325,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0.625,0.7777777777777778,0.3333333333333333,0.5071,0.7777777777777778,0.3333333333333333,0.5071,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
0.125,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0.125,0.6,0.6,0.7746,0.6,0.6,0.7746,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0.25,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.25,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.25,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0.125,0.6,0.6,0.7746,0.6,0.6,0.7746,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
