wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_rub,q_stemmed_has_miner,q_stemmed_has_scratch,q_stemmed_has_rub_miner,q_stemmed_has_miner_scratch,q_stemmed_has_rub_miner_scratch,q_stem_ordered_has_miner,q_stem_ordered_has_rub,q_stem_ordered_has_scratch,q_stem_ordered_has_miner_rub,q_stem_ordered_has_rub_scratch,q_stem_ordered_has_miner_rub_scratch
0.4000000000000001,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,0,1,0,0,0
0.2,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,0,1,0,0,0
0.2,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,0,1,0,0,0
0.4000000000000001,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,0,1,0,0,0
0.2,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,0,1,0,0,0
0.2,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0,1,1,0,0,0,1,0,1,0,0,0
0.2,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0,1,1,0,0,0,1,0,1,0,0,0
0.4000000000000001,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
0.6000000000000001,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,0,0,0,0,0,0,1,0,0,0,0
0.2,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,0,0,0,0,0,0,1,0,0,0,0
0.4000000000000001,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
0.2,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,0,0,0,0,0,0,1,0,0,0,0
1.0000000000000002,0.75,0.125,0.2357,0.75,0.125,0.2357,1,0,0,0,0,0,0,1,0,0,0,0
0.2,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,0,1,0,0,0,0,1,1,0,1,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,0,0,0,0,0,0,1,0,0,0,0
0.2,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,0,1,0,0,0,0,1,1,0,1,0
0.4000000000000001,0.75,0.5,0.6667,0.75,0.5,0.6667,1,0,1,0,0,0,0,1,1,0,1,0
0.2,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,0,1,0,0,0,0,1,1,0,1,0
0.2,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,0,1,0,0,0,0,1,1,0,1,0
0.4000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1
