wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_motor,q_stemmed_has_run,q_stemmed_has_motor_run,q_stem_ordered_has_motor,q_stem_ordered_has_run,q_stem_ordered_has_motor_run
0.5,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.5,1.0,0.6666666666666666,0.8165,1.0,0.6666666666666666,0.8165,1,1,0,1,1,1
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.75,0.8,0.2,0.3536,0.8,0.2,0.3536,1,0,0,1,0,0
0.5,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.25,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.5,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.25,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.25,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0
0.5,0.75,0.25,0.4082,0.75,0.25,0.4082,1,0,0,1,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.25,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0
0.25,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0
0.5,0.75,0.25,0.4082,0.75,0.25,0.4082,1,0,0,1,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.25,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,1,0,0,1,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.5,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.5,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0
0.5,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0
1.0,1.0,0.4,0.6325,1.0,0.4,0.6325,1,1,1,1,1,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
