wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_time,q_stemmed_has_increas,q_stemmed_has_number,q_stemmed_has_tree,q_stemmed_has_ring,q_stemmed_has_time_increas,q_stemmed_has_increas_number,q_stemmed_has_number_tree,q_stemmed_has_tree_ring,q_stemmed_has_ring_increas,q_stemmed_has_time_increas_number,q_stemmed_has_increas_number_tree,q_stemmed_has_number_tree_ring,q_stemmed_has_tree_ring_increas,q_stem_ordered_has_increas,q_stem_ordered_has_number,q_stem_ordered_has_ring,q_stem_ordered_has_time,q_stem_ordered_has_tree,q_stem_ordered_has_increas_increas,q_stem_ordered_has_increas_number,q_stem_ordered_has_number_ring,q_stem_ordered_has_ring_time,q_stem_ordered_has_time_tree,q_stem_ordered_has_increas_increas_number,q_stem_ordered_has_increas_number_ring,q_stem_ordered_has_number_ring_time,q_stem_ordered_has_ring_time_tree
0.4,0.625,0.25,0.4,0.625,0.25,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0.4,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
0.4,0.625,0.25,0.4,0.625,0.25,0.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0.4,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
0.1,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5000000000000001,0.75,0.375,0.5477,0.75,0.375,0.5477,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
0.1,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.6,0.6,0.7746,0.6,0.6,0.7746,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
0.30000000000000004,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
0.4,0.5555555555555556,0.1111111111111111,0.2,0.5555555555555556,0.1111111111111111,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1.0,0.9090909090909091,0.36363636363636365,0.5657,0.9090909090909091,0.36363636363636365,0.5657,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0
0.4,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
0.1,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.6,0.6,0.7746,0.6,0.6,0.7746,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
0.4,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.6666666666666666,0.8,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0
1.0,0.9,0.4,0.5963,0.9,0.4,0.5963,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0
0.5000000000000001,0.8571428571428571,0.5714285714285714,0.7303,0.8571428571428571,0.5714285714285714,0.7303,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1
0.30000000000000004,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
0.5000000000000001,1.0,0.8333333333333334,0.9129,1.0,0.8333333333333334,0.9129,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
0.5000000000000001,1.0,0.8333333333333334,0.9129,1.0,0.8333333333333334,0.9129,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
0.5000000000000001,1.0,0.8333333333333334,0.9129,1.0,0.8333333333333334,0.9129,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
0.6000000000000001,0.875,0.5,0.6761,0.875,0.5,0.6761,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1
0.30000000000000004,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.5000000000000001,0.8571428571428571,0.5714285714285714,0.7303,0.8571428571428571,0.5714285714285714,0.7303,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1
0.4,0.625,0.25,0.4,0.625,0.25,0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,1.0,0.8333333333333334,0.9129,1.0,0.8333333333333334,0.9129,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
0.4,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.6666666666666666,0.8,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1
0.4,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
0.30000000000000004,0.8,0.8,0.8944,0.8,0.8,0.8944,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1
0.4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
0.4,0.8,0.8,0.8944,0.8,0.8,0.8944,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1
