wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_finger,q_stemmed_has_pattern,q_stemmed_has_loop,q_stemmed_has_finger_pattern,q_stemmed_has_pattern_loop,q_stemmed_has_finger_pattern_loop,q_stem_ordered_has_finger,q_stem_ordered_has_loop,q_stem_ordered_has_pattern,q_stem_ordered_has_finger_loop,q_stem_ordered_has_loop_pattern,q_stem_ordered_has_finger_loop_pattern
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.5,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.75,0.5,0.6667,0.75,0.5,0.6667,0,1,1,0,1,0,0,1,1,0,1,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
1.0,0.75,0.5,0.6667,0.75,0.5,0.6667,1,1,0,1,0,0,1,0,1,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,1,0,0,0,0,0,0,1,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,1,0,0,0,0,0,0,1,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.75,0.5,0.6667,0.75,0.5,0.6667,1,0,1,0,0,0,1,1,0,1,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
1.0,0.75,0.5,0.6667,0.75,0.5,0.6667,1,1,0,1,0,0,1,0,1,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,1,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1
