wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_brass,q_stemmed_has_ring,q_stemmed_has_stick,q_stemmed_has_nail,q_stemmed_has_iron,q_stemmed_has_temporari,q_stemmed_has_magnet,q_stemmed_has_brass_ring,q_stemmed_has_ring_stick,q_stemmed_has_stick_nail,q_stemmed_has_nail_ring,q_stemmed_has_ring_iron,q_stemmed_has_iron_nail,q_stemmed_has_nail_temporari,q_stemmed_has_temporari_magnet,q_stemmed_has_magnet_brass,q_stemmed_has_brass_temporari,q_stemmed_has_magnet_stick,q_stemmed_has_stick_magnet,q_stemmed_has_brass_ring_stick,q_stemmed_has_ring_stick_nail,q_stemmed_has_stick_nail_ring,q_stemmed_has_nail_ring_iron,q_stemmed_has_ring_iron_nail,q_stemmed_has_iron_nail_temporari,q_stemmed_has_nail_temporari_magnet,q_stemmed_has_temporari_magnet_brass,q_stemmed_has_magnet_brass_temporari,q_stemmed_has_brass_temporari_magnet,q_stemmed_has_temporari_magnet_stick,q_stemmed_has_magnet_stick_magnet,q_stem_ordered_has_brass,q_stem_ordered_has_iron,q_stem_ordered_has_magnet,q_stem_ordered_has_nail,q_stem_ordered_has_ring,q_stem_ordered_has_stick,q_stem_ordered_has_temporari,q_stem_ordered_has_brass_brass,q_stem_ordered_has_brass_iron,q_stem_ordered_has_iron_magnet,q_stem_ordered_has_magnet_magnet,q_stem_ordered_has_magnet_nail,q_stem_ordered_has_nail_nail,q_stem_ordered_has_nail_ring,q_stem_ordered_has_ring_ring,q_stem_ordered_has_ring_stick,q_stem_ordered_has_stick_stick,q_stem_ordered_has_stick_temporari,q_stem_ordered_has_temporari_temporari,q_stem_ordered_has_brass_brass_iron,q_stem_ordered_has_brass_iron_magnet,q_stem_ordered_has_iron_magnet_magnet,q_stem_ordered_has_magnet_magnet_magnet,q_stem_ordered_has_magnet_magnet_nail,q_stem_ordered_has_magnet_nail_nail,q_stem_ordered_has_nail_nail_ring,q_stem_ordered_has_nail_ring_ring,q_stem_ordered_has_ring_ring_stick,q_stem_ordered_has_ring_stick_stick,q_stem_ordered_has_stick_stick_temporari,q_stem_ordered_has_stick_temporari_temporari
0.6875,0.7692307692307693,0.3076923076923077,0.4781,0.7692307692307693,0.3076923076923077,0.4781,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.0625,0.2857142857142857,0.2857142857142857,0.5345,0.2857142857142857,0.2857142857142857,0.5345,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.375,0.25,0.4364,0.375,0.25,0.4364,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.5,0.375,0.5669,0.5,0.375,0.5669,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.5555555555555556,0.3333333333333333,0.5071,0.5555555555555556,0.3333333333333333,0.5071,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.625,0.5,0.6761,0.625,0.5,0.6761,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.5,0.375,0.5669,0.5,0.375,0.5669,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.25,0.125,0.2673,0.25,0.125,0.2673,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.42857142857142855,0.42857142857142855,0.6547,0.42857142857142855,0.42857142857142855,0.6547,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
