wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_water,q_stemmed_has_flow,q_stemmed_has_downhil,q_stemmed_has_mountain,q_stemmed_has_valley,q_stemmed_has_water_flow,q_stemmed_has_flow_downhil,q_stemmed_has_downhil_mountain,q_stemmed_has_mountain_valley,q_stemmed_has_water_flow_downhil,q_stemmed_has_flow_downhil_mountain,q_stemmed_has_downhil_mountain_valley,q_stem_ordered_has_downhil,q_stem_ordered_has_flow,q_stem_ordered_has_mountain,q_stem_ordered_has_valley,q_stem_ordered_has_water,q_stem_ordered_has_downhil_flow,q_stem_ordered_has_flow_mountain,q_stem_ordered_has_mountain_valley,q_stem_ordered_has_valley_water,q_stem_ordered_has_downhil_flow_mountain,q_stem_ordered_has_flow_mountain_valley,q_stem_ordered_has_mountain_valley_water
0.375,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5,0.5,0.125,0.2236,0.5,0.125,0.2236,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.625,0.6666666666666666,0.2222222222222222,0.3651,0.6666666666666666,0.2222222222222222,0.3651,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0.125,0.4,0.4,0.6325,0.4,0.4,0.6325,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.875,0.8,0.3,0.4743,0.8,0.3,0.4743,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0.375,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
0.625,0.5454545454545454,0.0,0.0,0.5454545454545454,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.375,0.5,0.125,0.2236,0.5,0.125,0.2236,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
0.875,0.7,0.2,0.3381,0.7,0.2,0.3381,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.625,0.6666666666666666,0.2222222222222222,0.3651,0.6666666666666666,0.2222222222222222,0.3651,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.625,0.8571428571428571,0.5714285714285714,0.7303,0.8571428571428571,0.5714285714285714,0.7303,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0
0.375,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
0.25,0.375,0.0,0.0,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.875,0.7777777777777778,0.3333333333333333,0.5071,0.7777777777777778,0.3333333333333333,0.5071,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
1.0,0.75,0.16666666666666666,0.2981,0.75,0.16666666666666666,0.2981,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.25,0.375,0.0,0.0,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
