wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_3,q_stemmed_has_scoop,q_stemmed_has_fertil,q_stemmed_has_greater,q_stemmed_has_mass,q_stemmed_has_bean,q_stemmed_has_harvest,q_stemmed_has_3_scoop,q_stemmed_has_scoop_fertil,q_stemmed_has_fertil_fertil,q_stemmed_has_fertil_greater,q_stemmed_has_greater_mass,q_stemmed_has_mass_bean,q_stemmed_has_bean_harvest,q_stemmed_has_harvest_3,q_stemmed_has_fertil_mass,q_stemmed_has_3_scoop_fertil,q_stemmed_has_scoop_fertil_fertil,q_stemmed_has_fertil_fertil_greater,q_stemmed_has_fertil_greater_mass,q_stemmed_has_greater_mass_bean,q_stemmed_has_mass_bean_harvest,q_stemmed_has_bean_harvest_3,q_stemmed_has_harvest_3_scoop,q_stemmed_has_fertil_fertil_mass,q_stemmed_has_fertil_mass_bean,q_stem_ordered_has_3,q_stem_ordered_has_bean,q_stem_ordered_has_fertil,q_stem_ordered_has_greater,q_stem_ordered_has_harvest,q_stem_ordered_has_mass,q_stem_ordered_has_scoop,q_stem_ordered_has_3_3,q_stem_ordered_has_3_bean,q_stem_ordered_has_bean_bean,q_stem_ordered_has_bean_fertil,q_stem_ordered_has_fertil_fertil,q_stem_ordered_has_fertil_greater,q_stem_ordered_has_greater_harvest,q_stem_ordered_has_harvest_harvest,q_stem_ordered_has_harvest_mass,q_stem_ordered_has_mass_mass,q_stem_ordered_has_mass_scoop,q_stem_ordered_has_scoop_scoop,q_stem_ordered_has_3_3_bean,q_stem_ordered_has_3_bean_bean,q_stem_ordered_has_bean_bean_fertil,q_stem_ordered_has_bean_fertil_fertil,q_stem_ordered_has_fertil_fertil_fertil,q_stem_ordered_has_fertil_fertil_greater,q_stem_ordered_has_fertil_greater_harvest,q_stem_ordered_has_greater_harvest_harvest,q_stem_ordered_has_harvest_harvest_mass,q_stem_ordered_has_harvest_mass_mass,q_stem_ordered_has_mass_mass_scoop,q_stem_ordered_has_mass_scoop_scoop
0.1875,0.75,0.625,0.7715,0.75,0.625,0.7715,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4375,0.5555555555555556,0.3333333333333333,0.5071,0.5555555555555556,0.3333333333333333,0.5071,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
0.1875,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.5555555555555556,0.3333333333333333,0.5071,0.5555555555555556,0.3333333333333333,0.5071,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.5,0.2,0.3381,0.5,0.2,0.3381,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1875,0.45454545454545453,0.09090909090909091,0.169,0.45454545454545453,0.09090909090909091,0.169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.4166666666666667,0.0,0.0,0.4166666666666667,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8125,0.7647058823529411,0.17647058823529413,0.3145,0.7647058823529411,0.17647058823529413,0.3145,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
