student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
She would put and back it to a D-cell.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a and back dcell it put she to would,dcell,dcell,dcell,dcell,dcell,dcell
Stick it into the clips and close the switch.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,and clips close into it stick switch the the,stick clips close switch,clips close stick switch,stick clip close switch,clip close stick switch,stick clip close switch,clip close stick switch
She should hook the extra wire from the wrapping part and connect the wires to the switch and D-cell battery. Then stick a short wire to connect the D-cell and switch.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,a and and and battery connect connect dcell dcell extra from hook part she short should stick switch switch the the the the the then to to wire wire wires wrapping,hook extra wire wrapping connect wires switch dcell battery stick short wire connect dcell switch,battery connect connect dcell dcell extra hook short stick switch switch wire wire wires wrapping,hook extra wire wrap connect wire switch dcell batteri stick short wire connect dcell switch,batteri connect connect dcell dcell extra hook short stick switch switch wire wire wire wrap,hook extra wire wrapping connect wire switch dcell battery stick short wire connect dcell switch,battery connect connect dcell dcell extra hook short stick switch switch wire wire wire wrapping
"Wendy will connect the wire to a D-cell battery and switch, switch optional.",Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a and battery connect dcell optional switch switch the to wendy will wire,wendy connect wire dcell battery switch switch optional,battery connect dcell optional switch switch wendy wire,wendi connect wire dcell batteri switch switch option,batteri connect dcell option switch switch wendi wire,wendy connect wire dcell battery switch switch optional,battery connect dcell optional switch switch wendy wire
She should hook it to a D-cell.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a dcell hook it she should to,hook dcell,dcell hook,hook dcell,dcell hook,hook dcell,dcell hook
Hook the wires to the power source.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,hook power source the the to wires,hook wires power source,hook power source wires,hook wire power sourc,hook power sourc wire,hook wire power source,hook power source wire
Connect it to a battery and a switch.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a a and battery connect it switch to,connect battery switch,battery connect switch,connect batteri switch,batteri connect switch,connect battery switch,battery connect switch
Connect one of the tips of the long wire to the switch. Connect the other long end of the wire to the D-cell and connect the short wire to the D-cell and the switch.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,and and connect connect connect dcell dcell end long long of of of one other short switch switch the the the the the the the the the tips to to to wire wire wire,connect tips long wire switch connect long end wire dcell connect short wire dcell switch,connect connect connect dcell dcell end long long short switch switch tips wire wire wire,connect tip long wire switch connect long end wire dcell connect short wire dcell switch,connect connect connect dcell dcell end long long short switch switch tip wire wire wire,connect tip long wire switch connect long end wire dcell connect short wire dcell switch,connect connect connect dcell dcell end long long short switch switch tip wire wire wire
"Hook the wire to a D-cell. Get a switch and another wire hook that wire to the switch. Get something made of metal. Press the top of the nail to the metal thing, they should stick.",Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,a a and another dcell get get hook hook made metal metal nail of of press should something stick switch switch that the the the the the they thing to to to top wire wire wire,hook wire dcell switch wire hook wire switch metal press nail metal thing stick,dcell hook hook metal metal nail press stick switch switch thing wire wire wire,hook wire dcell switch wire hook wire switch metal press nail metal thing stick,dcell hook hook metal metal nail press stick switch switch thing wire wire wire,hook wire dcell switch wire hook wire switch metal press nail metal thing stick,dcell hook hook metal metal nail press stick switch switch thing wire wire wire
Get another wire hook it with the D-cell and the switch get the insulated wire and hook it to the switch and D-cell then turn it on with the switch and there a electromagnet.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a and and and and another dcell dcell electromagnet get get hook hook insulated it it it on switch switch switch the the the the the then there to turn wire wire with with,wire hook dcell switch insulated wire hook switch dcell turn switch electromagnet,dcell dcell electromagnet hook hook insulated switch switch switch turn wire wire,wire hook dcell switch insul wire hook switch dcell turn switch electromagnet,dcell dcell electromagnet hook hook insul switch switch switch turn wire wire,wire hook dcell switch insulated wire hook switch dcell turn switch electromagnet,dcell dcell electromagnet hook hook insulated switch switch switch turn wire wire
"Get a D-cell and a switch, connect the insulated wire to the switch and battery and you have an electromagnet.",Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a a an and and and battery connect dcell electromagnet get have insulated switch switch the the to wire you,dcell switch connect insulated wire switch battery electromagnet,battery connect dcell electromagnet insulated switch switch wire,dcell switch connect insul wire switch batteri electromagnet,batteri connect dcell electromagnet insul switch switch wire,dcell switch connect insulated wire switch battery electromagnet,battery connect dcell electromagnet insulated switch switch wire
She should see if the magnet works as a electromagnet.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,a as electromagnet if magnet see she should the works,magnet works electromagnet,electromagnet magnet works,magnet work electromagnet,electromagnet magnet work,magnet work electromagnet,electromagnet magnet work
She should get a D-cell to make it work.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,a dcell get it make she should to work,dcell work,dcell work,dcell work,dcell work,dcell work,dcell work
Put the wires to the D-cell.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,dcell put the the to wires,wires dcell,dcell wires,wire dcell,dcell wire,wire dcell,dcell wire
Attach the wire to each end of the nail.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,attach each end nail of the the to wire,attach wire end nail,attach end nail wire,attach wire end nail,attach end nail wire,attach wire end nail,attach end nail wire
She should hook the wire to the D-cell and switch and see if it will pick up iron or steel.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,and and dcell hook if iron it or pick see she should steel switch the the to up will wire,hook wire dcell switch pick iron steel,dcell hook iron pick steel switch wire,hook wire dcell switch pick iron steel,dcell hook iron pick steel switch wire,hook wire dcell switch pick iron steel,dcell hook iron pick steel switch wire
"Wendy, you should have a D-cell or a D-cell it does not matter. And a switch if you want it to work.",Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,a a a and dcell dcell does have if it it matter not or should switch to want wendy work you you,wendy dcell dcell matter switch want work,dcell dcell matter switch want wendy work,wendi dcell dcell matter switch want work,dcell dcell matter switch want wendi work,wendy dcell dcell matter switch want work,dcell dcell matter switch want wendy work
Get a D-cell and a switch.,Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,0,122,She would put and back it to a D-cell.,a a and dcell get switch,dcell switch,dcell switch,dcell switch,dcell switch,dcell switch,dcell switch
"She should attach one wire to a D-cell and the other to a switch. Then, she connects the D-cell and switch with a wire.",Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.,1,122,She would put and back it to a D-cell.,a a a and and attach connects dcell dcell one other she she should switch switch the the then to to wire wire with,attach wire dcell switch connects dcell switch wire,attach connects dcell dcell switch switch wire wire,attach wire dcell switch connect dcell switch wire,attach connect dcell dcell switch switch wire wire,attach wire dcell switch connects dcell switch wire,attach connects dcell dcell switch switch wire wire
