student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
The temperature.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,temperature the,temperature,temperature,temperatur,temperatur,temperature,temperature
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
A thermometer.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,a thermometer,thermometer,thermometer,thermomet,thermomet,thermometer,thermometer
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
He used Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius he used,celsius,celsius,celsiu,celsiu,celsius,celsius
He was using degrees Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius degrees he using was,degrees celsius,celsius degrees,degre celsiu,celsiu degre,degree celsius,celsius degree
Celsius and the metric system.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,and celsius metric system the,celsius metric system,celsius metric system,celsiu metric system,celsiu metric system,celsius metric system,celsius metric system
28 F.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,28 f,28 f,28 f,28 f,28 f,28 f,28 f
Thermometer.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,thermometer,thermometer,thermometer,thermomet,thermomet,thermometer,thermometer
The degrees.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,degrees the,degrees,degrees,degre,degre,degree,degree
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
28 Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,28 celsius,28 celsius,28 celsius,28 celsiu,28 celsiu,28 celsius,28 celsius
Thermometer.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,thermometer,thermometer,thermometer,thermomet,thermomet,thermometer,thermometer
A metric system.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,a metric system,metric system,metric system,metric system,metric system,metric system,metric system
He is using degrees Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius degrees he is using,degrees celsius,celsius degrees,degre celsiu,celsiu degre,degree celsius,celsius degree
A thermometer.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,a thermometer,thermometer,thermometer,thermomet,thermomet,thermometer,thermometer
He is using Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius he is using,celsius,celsius,celsiu,celsiu,celsius,celsius
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
Degree Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius degree,degree celsius,celsius degree,degre celsiu,celsiu degre,degree celsius,celsius degree
"Nice and warm, about 28 degrees.",Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,28 about and degrees nice warm,nice warm 28 degrees,28 degrees nice warm,nice warm 28 degre,28 degre nice warm,nice warm 28 degree,28 degree nice warm
He is using is feeling.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,feeling he is is using,feeling,feeling,feel,feel,feeling,feeling
He was using going outside estimating.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,estimating going he outside using was,going outside estimating,estimating going outside,go outsid estim,estim go outsid,going outside estimating,estimating going outside
Uncle Jen is using Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius is jen uncle using,uncle jen celsius,celsius jen uncle,uncl jen celsiu,celsiu jen uncl,uncle jen celsius,celsius jen uncle
Is was 60 milliliters.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,60 is milliliters was,60 milliliters,60 milliliters,60 millilit,60 millilit,60 milliliter,60 milliliter
Thermometer.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,thermometer,thermometer,thermometer,thermomet,thermomet,thermometer,thermometer
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
Degree Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius degree,degree celsius,celsius degree,degre celsiu,celsiu degre,degree celsius,celsius degree
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
A thermometer.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,a thermometer,thermometer,thermometer,thermomet,thermomet,thermometer,thermometer
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
Thermometer.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,thermometer,thermometer,thermometer,thermomet,thermomet,thermometer,thermometer
Celsius.,Bill must have been using degrees Celsius if 28 is a warm temperature.,1,101,The temperature.,celsius,celsius,celsius,celsiu,celsiu,celsius,celsius
Thermometer.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,thermometer,thermometer,thermometer,thermomet,thermomet,thermometer,thermometer
Thermometer.,Bill must have been using degrees Celsius if 28 is a warm temperature.,0,101,The temperature.,thermometer,thermometer,thermometer,thermomet,thermomet,thermometer,thermometer
