q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered,wordcount,sentence_count,s_similarity,normal_g_similarity,normal_j_similarity,normal_c_similarity,normal_ordered_g_similarity,normal_ordered_j_similarity,normal_ordered_c_similarity,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,lem_g_similarity,lem_j_similarity,lem_c_similarity,lem_ordered_g_similarity,lem_ordered_j_similarity,lem_ordered_c_similarity,q_answer_has_the,q_answer_has_food,q_answer_has_contains,q_answer_has_sugar,q_answer_has_the_food,q_answer_has_food_contains,q_answer_has_contains_sugar,q_answer_has_the_food_contains,q_answer_has_food_contains_sugar,q_answer_ordered_has_contains,q_answer_ordered_has_food,q_answer_ordered_has_sugar,q_answer_ordered_has_the,q_answer_ordered_has_contains_food,q_answer_ordered_has_food_sugar,q_answer_ordered_has_sugar_the,q_answer_ordered_has_contains_food_sugar,q_answer_ordered_has_food_sugar_the,q_stopwords_has_food,q_stopwords_has_contains,q_stopwords_has_sugar,q_stopwords_has_food_contains,q_stopwords_has_contains_sugar,q_stopwords_has_food_contains_sugar,q_stopwords_ordered_has_contains,q_stopwords_ordered_has_food,q_stopwords_ordered_has_sugar,q_stopwords_ordered_has_contains_food,q_stopwords_ordered_has_food_sugar,q_stopwords_ordered_has_contains_food_sugar,q_stemmed_has_food,q_stemmed_has_contain,q_stemmed_has_sugar,q_stemmed_has_food_contain,q_stemmed_has_contain_sugar,q_stemmed_has_food_contain_sugar,q_stem_ordered_has_contain,q_stem_ordered_has_food,q_stem_ordered_has_sugar,q_stem_ordered_has_contain_food,q_stem_ordered_has_food_sugar,q_stem_ordered_has_contain_food_sugar,q_lemm_has_food,q_lemm_has_contains,q_lemm_has_sugar,q_lemm_has_food_contains,q_lemm_has_contains_sugar,q_lemm_has_food_contains_sugar,q_lemm_ordered_has_contains,q_lemm_ordered_has_food,q_lemm_ordered_has_sugar,q_lemm_ordered_has_contains_food,q_lemm_ordered_has_food_sugar,q_lemm_ordered_has_contains_food_sugar
carbon carbon dioxide dioxide,carbon dioxid carbon dioxid,carbon carbon dioxid dioxid,carbon dioxide carbon dioxide,carbon carbon dioxide dioxide,0.5,0.0,0.37757701856670894,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mixture sugar,sugar mixtur,mixtur sugar,sugar mixture,mixture sugar,0.16666666666666666,0.0,0.7871984415334704,0.5,0.0,0.0,0.75,0.25,0.4082,0.5,0.25,0.4082,0.5,0.25,0.4082,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
chemical indicates lot reaction sugar,chemic reaction indic lot sugar,chemic indic lot reaction sugar,chemical reaction indicates lot sugar,chemical indicates lot reaction sugar,0.6666666666666666,0.0,0.7332615535954075,0.5,0.0,0.0,0.8571428571428571,0.14285714285714285,0.2887,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
acid indicates,indic acid,acid indic,indicates acid,acid indicates,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemical indicates reaction sugar,chemic reaction indic sugar,chemic indic reaction sugar,chemical reaction indicates sugar,chemical indicates reaction sugar,0.5,0.0,0.729091693674471,0.5,0.0,0.0,0.7142857142857143,0.2857142857142857,0.4472,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
food sugar,food sugar,food sugar,food sugar,food sugar,0.16666666666666666,0.0,1.0,0.5,0.0,0.0,0.8571428571428571,0.42857142857142855,0.6124,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0
acid chemical fat looking means reaction sugar,chemic reaction mean look sugar acid fat,acid chemic fat look mean reaction sugar,chemical reaction mean looking sugar acid fat,acid chemical fat looking mean reaction sugar,0.9999999999999999,0.0,0.7431105677194156,0.5,0.0,0.0,0.8125,0.0625,0.1387,0.7777777777777778,0.1111111111111111,0.2182,0.7777777777777778,0.1111111111111111,0.2182,0.7777777777777778,0.1111111111111111,0.2182,0.7777777777777778,0.1111111111111111,0.2182,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
contains sugar,contain sugar,contain sugar,contains sugar,contains sugar,0.16666666666666666,0.0,0.8760421661434287,0.5,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
contain food sugar tested,food test contain sugar,contain food sugar test,food tested contain sugar,contain food sugar tested,0.5,0.0,1.0,0.5,0.0,0.0,0.8888888888888888,0.3333333333333333,0.5303,1.0,0.75,0.866,1.0,0.75,0.866,0.8,0.4,0.5774,0.8,0.4,0.5774,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0
chemical indicates sugar,chemic indic sugar,chemic indic sugar,chemical indicates sugar,chemical indicates sugar,0.33333333333333337,0.0,0.8047183797759311,0.5,0.0,0.0,0.5714285714285714,0.14285714285714285,0.25,0.6,0.2,0.3333,0.6,0.2,0.3333,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
