student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",3 3 a all because because better blocks but can can drop drop hear hear if if nathaniel not one thing thing wooden you you you you,nathaniel wooden blocks drop 3 thing hear 3 drop thing hear better,3 3 better blocks drop drop hear hear nathaniel thing thing wooden,nathaniel wooden block drop 3 thing hear 3 drop thing hear better,3 3 better block drop drop hear hear nathaniel thing thing wooden,nathaniel wooden block drop 3 thing hear 3 drop thing hear better,3 3 better block drop drop hear hear nathaniel thing thing wooden
Sammy - If it will be soft or low or high or low the pitch will be different sound! Some will be loud or low!,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",be be be different high if it loud low low low or or or or pitch sammy soft some sound the will will will,sammy soft low high low pitch different sound loud low,different high loud low low low pitch sammy soft sound,sammi soft low high low pitch differ sound loud low,differ high loud low low low pitch sammi soft sound,sammy soft low high low pitch different sound loud low,different high loud low low low pitch sammy soft sound
Nathaniel - I picked Nathaniel because he has wood only. And Sammy has plastic metal and wood.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and and because has has he i metal nathaniel nathaniel only picked plastic sammy wood wood,nathaniel picked nathaniel wood sammy plastic metal wood,metal nathaniel nathaniel picked plastic sammy wood wood,nathaniel pick nathaniel wood sammi plastic metal wood,metal nathaniel nathaniel pick plastic sammi wood wood,nathaniel picked nathaniel wood sammy plastic metal wood,metal nathaniel nathaniel picked plastic sammy wood wood
Daniel - Because he dropped a popsicle.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",a because daniel dropped he popsicle,daniel dropped popsicle,daniel dropped popsicle,daniel drop popsicl,daniel drop popsicl,daniel dropped popsicle,daniel dropped popsicle
"Nathaniel - I picked Nathaniel because a wooden blocks has a low sound and Sammy wants to use blocks made of plastic, metal, and wood. And the objects will make a low sound.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",a a a and and and because blocks blocks has i low low made make metal nathaniel nathaniel objects of picked plastic sammy sound sound the to use wants will wood wooden,nathaniel picked nathaniel wooden blocks low sound sammy wants use blocks plastic metal wood objects low sound,blocks blocks low low metal nathaniel nathaniel objects picked plastic sammy sound sound use wants wood wooden,nathaniel pick nathaniel wooden block low sound sammi want use block plastic metal wood object low sound,block block low low metal nathaniel nathaniel object pick plastic sammi sound sound use want wood wooden,nathaniel picked nathaniel wooden block low sound sammy want use block plastic metal wood object low sound,block block low low metal nathaniel nathaniel object picked plastic sammy sound sound use want wood wooden
Sammy - Because the metal and wood makes a louder sound kind of like vibration.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",a and because kind like louder makes metal of sammy sound the vibration wood,sammy metal wood makes louder sound kind like vibration,kind like louder makes metal sammy sound vibration wood,sammi metal wood make louder sound kind like vibrat,kind like louder make metal sammi sound vibrat wood,sammy metal wood make louder sound kind like vibration,kind like louder make metal sammy sound vibration wood
Nathaniel - Nathaniel is using block because the block are bigger to drop in the chamber to play.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",are because bigger block block chamber drop in is nathaniel nathaniel play the the to to using,nathaniel nathaniel block block bigger drop chamber play,bigger block block chamber drop nathaniel nathaniel play,nathaniel nathaniel block block bigger drop chamber play,bigger block block chamber drop nathaniel nathaniel play,nathaniel nathaniel block block bigger drop chamber play,bigger block block chamber drop nathaniel nathaniel play
Nathaniel - Because it is harder than made of plastic.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because harder is it made nathaniel of plastic than,nathaniel harder plastic,harder nathaniel plastic,nathaniel harder plastic,harder nathaniel plastic,nathaniel harder plastic,harder nathaniel plastic
"Sammy - Because plastic, wood and metal do not sound the same.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and because do metal not plastic same sammy sound the wood,sammy plastic wood metal sound,metal plastic sammy sound wood,sammi plastic wood metal sound,metal plastic sammi sound wood,sammy plastic wood metal sound,metal plastic sammy sound wood
Because what if there is only one metal item and you drop it and you hear metal.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and and because drop hear if is it item metal metal one only there what you you,metal item drop hear metal,drop hear item metal metal,metal item drop hear metal,drop hear item metal metal,metal item drop hear metal,drop hear item metal metal
"Sammy - Because if they are the same material you would have to figure what size it was and which one it was, you would be able to tell easier if it was plastic, metal, or wood.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",able and are be because easier figure have if if it it it material metal one or plastic same sammy size tell the they to to was was was what which wood would would you you,sammy material figure size able tell easier plastic metal wood,able easier figure material metal plastic sammy size tell wood,sammi materi figur size abl tell easier plastic metal wood,abl easier figur materi metal plastic sammi size tell wood,sammy material figure size able tell easier plastic metal wood,able easier figure material metal plastic sammy size tell wood
Sammy - Because if it was same blocks just different sizes you would not know which sound it was so makes it harder but with Sammy idea they would be different so that is easy so Sammy.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,1,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",be because blocks but different different easy harder idea if is it it it just know makes not same sammy sammy sammy sizes so so so sound that they was was which with would would you,sammy blocks different sizes know sound makes harder sammy idea different easy sammy,blocks different different easy harder idea know makes sammy sammy sammy sizes sound,sammi block differ size know sound make harder sammi idea differ easi sammi,block differ differ easi harder idea know make sammi sammi sammi size sound,sammy block different size know sound make harder sammy idea different easy sammy,block different different easy harder idea know make sammy sammy sammy size sound
Sammy - Because it is different material and it is easier and it is easier because if it was Nathaniel's it would be harder because it is the same material and it all sounds alike.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",alike all and and and be because because because different easier easier harder if is is is is it it it it it it it material material nathaniels same sammy sounds the was would,sammy different material easier easier nathaniels harder material sounds alike,alike different easier easier harder material material nathaniels sammy sounds,sammi differ materi easier easier nathaniel harder materi sound alik,alik differ easier easier harder materi materi nathaniel sammi sound,sammy different material easier easier nathaniels harder material sound alike,alike different easier easier harder material material nathaniels sammy sound
Nathaniel - Nathaniel's because it is wood and it is different sizes.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and because different is is it it nathaniel nathaniels sizes wood,nathaniel nathaniels wood different sizes,different nathaniel nathaniels sizes wood,nathaniel nathaniel wood differ size,differ nathaniel nathaniel size wood,nathaniel nathaniels wood different size,different nathaniel nathaniels size wood
Sammy - Because they are not the same material.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",are because material not same sammy the they,sammy material,material sammy,sammi materi,materi sammi,sammy material,material sammy
Sammy - Sammy it would be easier because plastic is difference to wood.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",be because difference easier is it plastic sammy sammy to wood would,sammy sammy easier plastic difference wood,difference easier plastic sammy sammy wood,sammi sammi easier plastic differ wood,differ easier plastic sammi sammi wood,sammy sammy easier plastic difference wood,difference easier plastic sammy sammy wood
Sammys - Because there are different sounds with Sammy's idea.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",are because different idea sammys sammys sounds there with,sammys different sounds sammys idea,different idea sammys sammys sounds,sammi differ sound sammi idea,differ idea sammi sammi sound,sammys different sound sammys idea,different idea sammys sammys sound
Nathaniel's - Because they all sound the same.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",all because nathaniels same sound the they,nathaniels sound,nathaniels sound,nathaniel sound,nathaniel sound,nathaniels sound,nathaniels sound
"Sammy - Because the plastic, metal wood might sound different!",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because different metal might plastic sammy sound the wood,sammy plastic metal wood sound different,different metal plastic sammy sound wood,sammi plastic metal wood sound differ,differ metal plastic sammi sound wood,sammy plastic metal wood sound different,different metal plastic sammy sound wood
Sammy - Because they are different things.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",are because different sammy they things,sammy different things,different sammy things,sammi differ thing,differ sammi thing,sammy different thing,different sammy thing
Sammy's - Sammy's because they are all different.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",all are because different sammys sammys they,sammys sammys different,different sammys sammys,sammi sammi differ,differ sammi sammi,sammys sammys different,different sammys sammys
Sammy - Because Sammy's idea is better because Sammy is different kind of blocks and Nathaniel is just one kind of block but they are different size.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and are because because better block blocks but different different idea is is is just kind kind nathaniel of of one sammy sammy sammys size they,sammy sammys idea better sammy different kind blocks nathaniel kind block different size,better block blocks different different idea kind kind nathaniel sammy sammy sammys size,sammi sammi idea better sammi differ kind block nathaniel kind block differ size,better block block differ differ idea kind kind nathaniel sammi sammi sammi size,sammy sammys idea better sammy different kind block nathaniel kind block different size,better block block different different idea kind kind nathaniel sammy sammy sammys size
Nathaniel - Because metal is close to the same sound of the other metals.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because close is metal metals nathaniel of other same sound the the to,nathaniel metal close sound metals,close metal metals nathaniel sound,nathaniel metal close sound metal,close metal metal nathaniel sound,nathaniel metal close sound metal,close metal metal nathaniel sound
Nathaniel - Because it is wood.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because is it nathaniel wood,nathaniel wood,nathaniel wood,nathaniel wood,nathaniel wood,nathaniel wood,nathaniel wood
"Sammy - Because plastic, metal, and wood have different sounds so it will be easier.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",and be because different easier have it metal plastic sammy so sounds will wood,sammy plastic metal wood different sounds easier,different easier metal plastic sammy sounds wood,sammi plastic metal wood differ sound easier,differ easier metal plastic sammi sound wood,sammy plastic metal wood different sound easier,different easier metal plastic sammy sound wood
Sammy - Because Sammy's idea would be easier than Nathaniel's idea.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",be because easier idea idea nathaniels sammy sammys than would,sammy sammys idea easier nathaniels idea,easier idea idea nathaniels sammy sammys,sammi sammi idea easier nathaniel idea,easier idea idea nathaniel sammi sammi,sammy sammys idea easier nathaniels idea,easier idea idea nathaniels sammy sammys
"Sammy's - Sammy's, they are made out of different things.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",are different made of out sammys sammys they things,sammys sammys different things,different sammys sammys things,sammi sammi differ thing,differ sammi sammi thing,sammys sammys different thing,different sammys sammys thing
"Nathaniel - I think because his has these things wooden, blocks.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",because blocks has his i nathaniel these things think wooden,nathaniel think things wooden blocks,blocks nathaniel things think wooden,nathaniel think thing wooden block,block nathaniel thing think wooden,nathaniel think thing wooden block,block nathaniel thing think wooden
"Nathaniel - Nathaniel because, Sammy is softer, and if the plastic is too soft, it will not make a sound, and he or her will not be able to hear it.",Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",a able and and be because he hear her if is is it it make nathaniel nathaniel not not or plastic sammy soft softer sound the to too will will,nathaniel nathaniel sammy softer plastic soft sound able hear,able hear nathaniel nathaniel plastic sammy soft softer sound,nathaniel nathaniel sammi softer plastic soft sound abl hear,abl hear nathaniel nathaniel plastic sammi soft softer sound,nathaniel nathaniel sammy softer plastic soft sound able hear,able hear nathaniel nathaniel plastic sammy soft softer sound
Nathaniel - Because wood all sounds the same but different sizes. Like a big wood and small piece kind of sound the same.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",a all and because big but different kind like nathaniel of piece same same sizes small sound sounds the the wood wood,nathaniel wood sounds different sizes like big wood small piece kind sound,big different kind like nathaniel piece sizes small sound sounds wood wood,nathaniel wood sound differ size like big wood small piec kind sound,big differ kind like nathaniel piec size small sound sound wood wood,nathaniel wood sound different size like big wood small piece kind sound,big different kind like nathaniel piece size small sound sound wood wood
Sammy - Because the blocks are made of different material.,Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.,0,124,"Nathaniel - Because a wooden blocks, because if you drop 3 thing you can not hear all 3. But if you drop one thing you can hear better.",are because blocks different made material of sammy the,sammy blocks different material,blocks different material sammy,sammi block differ materi,block differ materi sammi,sammy block different material,block different material sammy
