stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_string,q_stemmed_has_longer,q_stemmed_has_pitch,q_stemmed_has_lower,q_stemmed_has_string_longer,q_stemmed_has_longer_pitch,q_stemmed_has_pitch_lower,q_stemmed_has_string_longer_pitch,q_stemmed_has_longer_pitch_lower,q_stem_ordered_has_longer,q_stem_ordered_has_lower,q_stem_ordered_has_pitch,q_stem_ordered_has_string,q_stem_ordered_has_longer_lower,q_stem_ordered_has_lower_pitch,q_stem_ordered_has_pitch_string,q_stem_ordered_has_longer_lower_pitch,q_stem_ordered_has_lower_pitch_string
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
