wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_elena,q_stemmed_has_includ,q_stemmed_has_separ,q_stemmed_has_shelter,q_stemmed_has_lizard,q_stemmed_has_elena_includ,q_stemmed_has_includ_separ,q_stemmed_has_separ_shelter,q_stemmed_has_shelter_lizard,q_stemmed_has_elena_includ_separ,q_stemmed_has_includ_separ_shelter,q_stemmed_has_separ_shelter_lizard,q_stem_ordered_has_elena,q_stem_ordered_has_includ,q_stem_ordered_has_lizard,q_stem_ordered_has_separ,q_stem_ordered_has_shelter,q_stem_ordered_has_elena_includ,q_stem_ordered_has_includ_lizard,q_stem_ordered_has_lizard_separ,q_stem_ordered_has_separ_shelter,q_stem_ordered_has_elena_includ_lizard,q_stem_ordered_has_includ_lizard_separ,q_stem_ordered_has_lizard_separ_shelter
0.25,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.125,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.375,0.5,0.125,0.2236,0.5,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.625,0.6,0.1,0.1826,0.6,0.1,0.1826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.25,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.25,0.375,0.0,0.0,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.4,0.4,0.6325,0.4,0.4,0.6325,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.75,0.6363636363636364,0.09090909090909091,0.169,0.6363636363636364,0.09090909090909091,0.169,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.125,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
