wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_solut,q_stemmed_has_concentr,q_stemmed_has_2,q_stemmed_has_spoon,q_stemmed_has_50,q_stemmed_has_millilit,q_stemmed_has_4,q_stemmed_has_100,q_stemmed_has_mass,q_stemmed_has_solut_concentr,q_stemmed_has_concentr_2,q_stemmed_has_2_spoon,q_stemmed_has_spoon_50,q_stemmed_has_50_millilit,q_stemmed_has_millilit_4,q_stemmed_has_4_spoon,q_stemmed_has_spoon_100,q_stemmed_has_100_millilit,q_stemmed_has_millilit_mass,q_stemmed_has_solut_concentr_2,q_stemmed_has_concentr_2_spoon,q_stemmed_has_2_spoon_50,q_stemmed_has_spoon_50_millilit,q_stemmed_has_50_millilit_4,q_stemmed_has_millilit_4_spoon,q_stemmed_has_4_spoon_100,q_stemmed_has_spoon_100_millilit,q_stemmed_has_100_millilit_mass,q_stem_ordered_has_100,q_stem_ordered_has_2,q_stem_ordered_has_4,q_stem_ordered_has_50,q_stem_ordered_has_concentr,q_stem_ordered_has_mass,q_stem_ordered_has_millilit,q_stem_ordered_has_solut,q_stem_ordered_has_spoon,q_stem_ordered_has_100_2,q_stem_ordered_has_2_4,q_stem_ordered_has_4_50,q_stem_ordered_has_50_concentr,q_stem_ordered_has_concentr_mass,q_stem_ordered_has_mass_millilit,q_stem_ordered_has_millilit_millilit,q_stem_ordered_has_millilit_solut,q_stem_ordered_has_solut_spoon,q_stem_ordered_has_spoon_spoon,q_stem_ordered_has_100_2_4,q_stem_ordered_has_2_4_50,q_stem_ordered_has_4_50_concentr,q_stem_ordered_has_50_concentr_mass,q_stem_ordered_has_concentr_mass_millilit,q_stem_ordered_has_mass_millilit_millilit,q_stem_ordered_has_millilit_millilit_solut,q_stem_ordered_has_millilit_solut_spoon,q_stem_ordered_has_solut_spoon_spoon
0.375,0.38461538461538464,0.07692307692307693,0.1491,0.38461538461538464,0.07692307692307693,0.1491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3125,0.38461538461538464,0.07692307692307693,0.1491,0.38461538461538464,0.07692307692307693,0.1491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5,0.5,0.14285714285714285,0.252,0.5,0.14285714285714285,0.252,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.45454545454545453,0.2727272727272727,0.4472,0.45454545454545453,0.2727272727272727,0.4472,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.4166666666666667,0.16666666666666666,0.2981,0.4166666666666667,0.16666666666666666,0.2981,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.375,0.5,0.14285714285714285,0.252,0.5,0.14285714285714285,0.252,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.38461538461538464,0.07692307692307693,0.1491,0.38461538461538464,0.07692307692307693,0.1491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3125,0.5,0.25,0.4082,0.5,0.25,0.4082,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
