wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_experi,q_stemmed_has_control,q_stemmed_has_variabl,q_stemmed_has_chang,q_stemmed_has_time,q_stemmed_has_experi_control,q_stemmed_has_control_variabl,q_stemmed_has_variabl_chang,q_stemmed_has_chang_time,q_stemmed_has_experi_control_variabl,q_stemmed_has_control_variabl_chang,q_stemmed_has_variabl_chang_time,q_stem_ordered_has_chang,q_stem_ordered_has_control,q_stem_ordered_has_experi,q_stem_ordered_has_time,q_stem_ordered_has_variabl,q_stem_ordered_has_chang_control,q_stem_ordered_has_control_experi,q_stem_ordered_has_experi_time,q_stem_ordered_has_time_variabl,q_stem_ordered_has_chang_control_experi,q_stem_ordered_has_control_experi_time,q_stem_ordered_has_experi_time_variabl
0.5,0.8,0.8,0.8944,0.8,0.8,0.8944,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
0.25,0.6,0.6,0.7746,0.6,0.6,0.7746,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0.5,0.8,0.8,0.8944,0.8,0.8,0.8944,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
0.375,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.6,0.6,0.7746,0.6,0.6,0.7746,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0.375,0.8,0.8,0.8944,0.8,0.8,0.8944,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1
0.75,1.0,0.7142857142857143,0.8452,1.0,0.7142857142857143,0.8452,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0
0.125,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.75,0.625,0.25,0.4,0.625,0.25,0.4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.75,1.0,0.7142857142857143,0.8452,1.0,0.7142857142857143,0.8452,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0
0.25,0.6,0.6,0.7746,0.6,0.6,0.7746,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.625,0.25,0.4,0.625,0.25,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.25,0.6,0.6,0.7746,0.6,0.6,0.7746,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
0.625,1.0,0.8333333333333334,0.9129,1.0,0.8333333333333334,0.9129,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1
0.5,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.6666666666666666,0.8,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
0.25,0.6,0.6,0.7746,0.6,0.6,0.7746,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
0.125,0.4,0.4,0.6325,0.4,0.4,0.6325,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.375,0.4,0.4,0.6325,0.4,0.4,0.6325,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1.0,0.8,0.3,0.4743,0.8,0.3,0.4743,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0.25,0.6,0.6,0.7746,0.6,0.6,0.7746,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
0.5,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.125,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0.6,0.6,0.7746,0.6,0.6,0.7746,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.375,0.5,0.125,0.2236,0.5,0.125,0.2236,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5,0.625,0.25,0.4,0.625,0.25,0.4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.125,0.4,0.4,0.6325,0.4,0.4,0.6325,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.125,0.4,0.4,0.6325,0.4,0.4,0.6325,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
