wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_solut,q_stemmed_has_creat,q_stemmed_has_eggshel,q_stemmed_has_disappear,q_stemmed_has_dissolv,q_stemmed_has_mixtur,q_stemmed_has_end,q_stemmed_has_clear,q_stemmed_has_liquid,q_stemmed_has_solut_creat,q_stemmed_has_creat_eggshel,q_stemmed_has_eggshel_disappear,q_stemmed_has_disappear_dissolv,q_stemmed_has_dissolv_mixtur,q_stemmed_has_mixtur_end,q_stemmed_has_end_clear,q_stemmed_has_clear_liquid,q_stemmed_has_solut_creat_eggshel,q_stemmed_has_creat_eggshel_disappear,q_stemmed_has_eggshel_disappear_dissolv,q_stemmed_has_disappear_dissolv_mixtur,q_stemmed_has_dissolv_mixtur_end,q_stemmed_has_mixtur_end_clear,q_stemmed_has_end_clear_liquid,q_stem_ordered_has_clear,q_stem_ordered_has_creat,q_stem_ordered_has_disappear,q_stem_ordered_has_dissolv,q_stem_ordered_has_eggshel,q_stem_ordered_has_end,q_stem_ordered_has_liquid,q_stem_ordered_has_mixtur,q_stem_ordered_has_solut,q_stem_ordered_has_clear_creat,q_stem_ordered_has_creat_disappear,q_stem_ordered_has_disappear_dissolv,q_stem_ordered_has_dissolv_eggshel,q_stem_ordered_has_eggshel_end,q_stem_ordered_has_end_liquid,q_stem_ordered_has_liquid_mixtur,q_stem_ordered_has_mixtur_solut,q_stem_ordered_has_clear_creat_disappear,q_stem_ordered_has_creat_disappear_dissolv,q_stem_ordered_has_disappear_dissolv_eggshel,q_stem_ordered_has_dissolv_eggshel_end,q_stem_ordered_has_eggshel_end_liquid,q_stem_ordered_has_end_liquid_mixtur,q_stem_ordered_has_liquid_mixtur_solut
0.25,0.3,0.2,0.3849,0.3,0.2,0.3849,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.45454545454545453,0.2727272727272727,0.4472,0.45454545454545453,0.2727272727272727,0.4472,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.36363636363636365,0.18181818181818182,0.3333,0.36363636363636365,0.18181818181818182,0.3333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.2,0.1,0.2357,0.2,0.1,0.2357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1111111111111111,0.1111111111111111,0.3333,0.1111111111111111,0.1111111111111111,0.3333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,0.2222222222222222,0.2222222222222222,0.4714,0.2222222222222222,0.2222222222222222,0.4714,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,0.4,0.3,0.5,0.4,0.3,0.5,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.875,0.5714285714285714,0.21428571428571427,0.3536,0.5714285714285714,0.21428571428571427,0.3536,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
