student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
You have a standard because if you do not it will not be controlled.,A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,a be because controlled do have if it not not standard will you you,standard controlled,controlled standard,standard control,control standard,standard controlled,controlled standard
So that you can see the results of an experiment before a variable is changed so you can compare.,A standard is used for comparison to determine how changing one variable changes the results.,1,100,You have a standard because if you do not it will not be controlled.,a an before can can changed compare experiment is of results see so so that the variable you you,results experiment variable changed compare,changed compare experiment results variable,result experi variabl chang compar,chang compar experi result variabl,result experiment variable changed compare,changed compare experiment result variable
You use a standard so you will not make a mistake and so you can compare it to differences.,A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,a a and can compare differences it make mistake not so so standard to use will you you you,use standard mistake compare differences,compare differences mistake standard use,use standard mistak compar differ,compar differ mistak standard use,use standard mistake compare difference,compare difference mistake standard use
You start with a standard so you can compare your standard data to your data when you change a variable.,A standard is used for comparison to determine how changing one variable changes the results.,1,100,You have a standard because if you do not it will not be controlled.,a a can change compare data data so standard standard start to variable when with you you you your your,start standard compare standard data data change variable,change compare data data standard standard start variable,start standard compar standard data data chang variabl,chang compar data data standard standard start variabl,start standard compare standard data data change variable,change compare data data standard standard start variable
So you can get the closest answer to the question.,A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,answer can closest get question so the the to you,closest answer question,answer closest question,closest answer question,answer closest question,closest answer question,answer closest question
So you can record and change variables to get a difference.,A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,a and can change difference get record so to variables you,record change variables difference,change difference record variables,record chang variabl differ,chang differ record variabl,record change variable difference,change difference record variable
So that control your experiment without changing more than one variable.,A standard is used for comparison to determine how changing one variable changes the results.,1,100,You have a standard because if you do not it will not be controlled.,changing control experiment more one so than that variable without your,control experiment changing variable,changing control experiment variable,control experi chang variabl,chang control experi variabl,control experiment changing variable,changing control experiment variable
To keep the variables controlled.,A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,controlled keep the to variables,variables controlled,controlled variables,variabl control,control variabl,variable controlled,controlled variable
You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,A standard is used for comparison to determine how changing one variable changes the results.,1,100,You have a standard because if you do not it will not be controlled.,a a a and at because can can change controlled experiment happened in one so standard tell time use variable what you you you,use standard tell happened controlled experiment change variable time,change controlled experiment happened standard tell time use variable,use standard tell happen control experi chang variabl time,chang control experi happen standard tell time use variabl,use standard tell happened controlled experiment change variable time,change controlled experiment happened standard tell time use variable
You would use a standard to change any variables than just one variable that can be changed.,A standard is used for comparison to determine how changing one variable changes the results.,1,100,You have a standard because if you do not it will not be controlled.,a any be can change changed just one standard than that to use variable variables would you,use standard change variables variable changed,change changed standard use variable variables,use standard chang variabl variabl chang,chang chang standard use variabl variabl,use standard change variable variable changed,change changed standard use variable variable
"You use a standard to control your procedure, like if you get it wrong you can see what you did.",A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,a can control did get if it like procedure see standard to use what wrong you you you you your,use standard control procedure like wrong,control like procedure standard use wrong,use standard control procedur like wrong,control like procedur standard use wrong,use standard control procedure like wrong,control like procedure standard use wrong
To compare the new experiment with the standard.,A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,compare experiment new standard the the to with,compare new experiment standard,compare experiment new standard,compar new experi standard,compar experi new standard,compare new experiment standard,compare experiment new standard
"You use a standard because when you change something which is a variable. That when you change it, you know when you did before.",A standard is used for comparison to determine how changing one variable changes the results.,1,100,You have a standard because if you do not it will not be controlled.,a a because before change change did is it know something standard that use variable when when when which you you you you you,use standard change variable change know,change change know standard use variable,use standard chang variabl chang know,chang chang know standard use variabl,use standard change variable change know,change change know standard use variable
"You use a standard because without a standard, you can change it.",A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,a a because can change it standard standard use without you you,use standard standard change,change standard standard use,use standard standard chang,chang standard standard use,use standard standard change,change standard standard use
"So you can see what you did after you do the other trials, it makes a controlled experiment to look back on when you change one variable at a time.",A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,a a after at back can change controlled did do experiment it look makes on one other see so the time to trials variable what when you you you you,trials makes controlled experiment look change variable time,change controlled experiment look makes time trials variable,trial make control experi look chang variabl time,chang control experi look make time trial variabl,trial make controlled experiment look change variable time,change controlled experiment look make time trial variable
You use a standard to see if you can try a less amount each time you do an experiment.,A standard is used for comparison to determine how changing one variable changes the results.,1,100,You have a standard because if you do not it will not be controlled.,a a amount an can do each experiment if less see standard time to try use you you you,use standard try time experiment,experiment standard time try use,use standard tri time experi,experi standard time tri use,use standard try time experiment,experiment standard time try use
You use a standard so that you can test it and compare with your standard. And compare with your variable.,A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,a and and can compare compare it so standard standard test that use variable with with you you your your,use standard test compare standard compare variable,compare compare standard standard test use variable,use standard test compar standard compar variabl,compar compar standard standard test use variabl,use standard test compare standard compare variable,compare compare standard standard test use variable
When conducting a controlled experiment you use a standard because you compare your other results to see if it is accurate.,A standard is used for comparison to determine how changing one variable changes the results.,1,100,You have a standard because if you do not it will not be controlled.,a a accurate because compare conducting controlled experiment if is it other results see standard to use when you you your,conducting controlled experiment use standard compare results accurate,accurate compare conducting controlled experiment results standard use,conduct control experi use standard compar result accur,accur compar conduct control experi result standard use,conducting controlled experiment use standard compare result accurate,accurate compare conducting controlled experiment result standard use
You use a standard so you can change the variable if needed in an experiment and you can also change the variable at a time.,A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,a a also an and at can can change change experiment if in needed so standard the the time use variable variable you you you,use standard change variable needed experiment change variable time,change change experiment needed standard time use variable variable,use standard chang variabl need experi chang variabl time,chang chang experi need standard time use variabl variabl,use standard change variable needed experiment change variable time,change change experiment needed standard time use variable variable
You use a standard because that what you know before the experiment and the standard helps you a lot during the experiment.,A standard is used for comparison to determine how changing one variable changes the results.,0,100,You have a standard because if you do not it will not be controlled.,a a and because before during experiment experiment helps know lot standard standard that the the the use what you you you,use standard know experiment standard helps lot experiment,experiment experiment helps know lot standard standard use,use standard know experi standard help lot experi,experi experi help know lot standard standard use,use standard know experiment standard help lot experiment,experiment experiment help know lot standard standard use
