student_answer,teacher_answer,label,question_id
If it is iron it will stick if it is aluminum it will not stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
It will be made of iron if it sticks to a magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
The magnet will stick to iron not to aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
If it is iron it will stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
I will stick or not stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
It will stick to iron.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
By testing it with a magnet and it will stick if it is iron.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
If the key sticks it is made of iron if it does not it is made of aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
If it is iron the key will stick if it is aluminum it would not stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
Aluminum will stick to a magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
If it were iron it would stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
You could get something with magnitite in it and see if it sticks if it sticks you know it is iron if it does not stick it is aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
Test it on a magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
The magnet will stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
The key will stick if it is iron but if it is aluminum it will not.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
You will put a magnet on it and see if it sticks.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
If it is iron it will stick if it is aluminum it will not stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
If the key sticks.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
The magnet will stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
If the magnet attracts or not.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
You will know because the magnet will stick or not.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
If the key is iron it will attract if it is not it will repel.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
By sticking the key to a magnet and try it out.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
If it attracts or drops when you let it go.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
If the key attracts is iron. If it repels is aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
You would find the answer.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
It will stick to iron and not aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
You can try it out altogether.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
I will put it on a nail.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
You will know because it will stick to a magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
Because if it sticked it was iron if it did not it is aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
If it sticks then it is a magnet if it does not then it is not.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
You can get a key and a iron nail and aluminum foil and see if it sticks.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
"If it repels aluminum if it sticks iron, attract.","If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
I will know when it sticks or it repels.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
It will fall off the magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51
"If the key sticks, the key is iron; if the key does not stick the key is aluminum.","If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51
