dataset,score,type
question0,0.16666666666666674,Classification
question100,0.6349206349206349,Classification
question101,0.9523809523809523,Classification
question104,0.0,Classification
question105,0.5454545454545454,Classification
question107,0.6242236024844721,Classification
question108,0.2836363636363637,Classification
question10,0.19999999999999996,Classification
question111,0.043333333333333224,Classification
question112,0.22807017543859653,Classification
question118,0.0,Classification
question119,0.16153846153846163,Classification
question11,0.0,Classification
question120,0.3846153846153846,Classification
question122,0.5416666666666665,Classification
question123,0.625,Classification
question126,0.16153846153846163,Classification
question127,0.1428571428571428,Classification
question128,0.0,Classification
question12,0.5384615384615383,Classification
question130,0.0,Classification
question131,0.8323529411764705,Classification
question132,0.19999999999999996,Classification
question133,0.3653250773993808,Classification
question134,0.19999999999999996,Classification
question13,0.9618181818181819,Classification
question14,0.8999999999999999,Classification
question17,0.26296296296296284,Classification
question18,0.19999999999999996,Classification
question19,0.0,Classification
question21,0.0,Classification
question23,0.0,Classification
question25,0.7911764705882351,Classification
question26,1.0,Classification
question27,0.20999999999999996,Classification
question30,0.0,Classification
question31,0.8918128654970761,Classification
question32,0.20779220779220786,Classification
question33,0.5714285714285714,Classification
question38,0.44444444444444464,Classification
question39,0.1333333333333333,Classification
question3,0.3831168831168832,Classification
question41,0.30000000000000004,Classification
question42,0.0,Classification
question44,0.0,Classification
question45,0.36363636363636376,Classification
question49,0.5545454545454547,Classification
question4,0.0,Classification
question50,0.0,Classification
question51,0.5029239766081872,Classification
question53,0.07692307692307687,Classification
question54,0.44999999999999996,Classification
question56,0.125,Classification
question58,0.11217948717948723,Classification
question60,0.6147058823529412,Classification
question61,0.11111111111111116,Classification
question64,0.28205128205128194,Classification
question65,0.564327485380117,Classification
question66,0.6753246753246753,Classification
question67,0.3333333333333335,Classification
question69,0.669090909090909,Classification
question6,0.3076923076923077,Classification
question70,0.6000000000000001,Classification
question71,0.5559006211180124,Classification
question72,0.4870689655172413,Classification
question73,0.4035087719298245,Classification
question75,0.4575757575757575,Classification
question77,0.19999999999999996,Classification
question78,0.40588235294117636,Classification
question80,0.5744047619047619,Classification
question81,0.9130434782608696,Classification
question83,0.4285714285714286,Classification
question85,0.11111111111111116,Classification
question86,0.11403508771929816,Classification
question87,0.0,Classification
question88,0.6499999999999999,Classification
question89,0.6810344827586206,Classification
question8,0.0,Classification
question90,0.4761904761904763,Classification
question92,0.34857142857142853,Classification
question93,0.09090909090909083,Classification
question95,0.0,Classification
question96,0.28787878787878785,Classification
question99,0.7692307692307692,Classification
question0,0.16666666666666674,Clustering
question100,0.6349206349206349,Clustering
question101,0.04761904761904767,Clustering
question104,0.4444444444444444,Clustering
question105,-0.14335664335664333,Clustering
question107,0.3633540372670807,Clustering
question108,0.040000000000000036,Clustering
question10,0.10000000000000009,Clustering
question111,0.08333333333333326,Clustering
question112,0.24561403508771917,Clustering
question118,0.040000000000000036,Clustering
question119,0.10000000000000009,Clustering
question11,-0.08870967741935487,Clustering
question120,0.07692307692307687,Clustering
question122,0.04166666666666674,Clustering
question123,0.04761904761904767,Clustering
question126,0.5384615384615383,Clustering
question127,0.746031746031746,Clustering
question128,0.04166666666666674,Clustering
question12,0.5833333333333335,Clustering
question130,0.03333333333333344,Clustering
question131,0.8999999999999999,Clustering
question132,0.4064516129032256,Clustering
question133,0.2941176470588236,Clustering
question134,0.16666666666666652,Clustering
question13,0.012727272727272698,Clustering
question14,0.5185185185185186,Clustering
question17,0.10000000000000009,Clustering
question18,0.10000000000000009,Clustering
question19,0.25,Clustering
question21,0.25,Clustering
question23,0.03333333333333344,Clustering
question25,0.8,Clustering
question26,0.8666666666666667,Clustering
question27,0.08333333333333326,Clustering
question30,0.21264367816091956,Clustering
question31,0.05555555555555558,Clustering
question32,0.11038961038961026,Clustering
question33,0.5,Clustering
question38,0.05555555555555558,Clustering
question39,0.20909090909090922,Clustering
question3,0.0714285714285714,Clustering
question41,0.5888888888888888,Clustering
question42,0.5483870967741935,Clustering
question44,0.5454545454545454,Clustering
question45,0.09090909090909083,Clustering
question49,0.33333333333333326,Clustering
question4,0.11428571428571432,Clustering
question50,0.26515151515151514,Clustering
