dataset,score,type
question0,0.0,Classification
question100,0.0,Classification
question101,0.975609756097561,Classification
question104,0.8679245283018868,Classification
question105,0.9811320754716981,Classification
question107,0.8627450980392156,Classification
question108,0.8771929824561403,Classification
question10,0.18181818181818182,Classification
question111,0.26666666666666666,Classification
question112,0.75,Classification
question118,0.8064516129032258,Classification
question119,0.0,Classification
question11,0.8857142857142858,Classification
question120,0.631578947368421,Classification
question122,0.830188679245283,Classification
question123,0.8,Classification
question126,0.8387096774193548,Classification
question127,0.6,Classification
question128,0.6666666666666667,Classification
question12,0.888888888888889,Classification
question130,0.8955223880597014,Classification
question131,0.975609756097561,Classification
question132,0.0,Classification
question133,0.5185185185185185,Classification
question134,0.0,Classification
question13,0.98,Classification
question14,0.9818181818181818,Classification
question17,0.33333333333333337,Classification
question18,0.380952380952381,Classification
question19,0.0,Classification
question21,0.4,Classification
question23,0.9090909090909091,Classification
question25,0.8372093023255814,Classification
question26,1.0,Classification
question27,0.0,Classification
question30,0.90625,Classification
question31,0.9444444444444444,Classification
question32,0.4666666666666667,Classification
question33,0.6,Classification
question38,0.6250000000000001,Classification
question39,0.5217391304347827,Classification
question3,0.5185185185185186,Classification
question41,0.7499999999999999,Classification
question42,0.2857142857142857,Classification
question44,0.4,Classification
question45,0.5333333333333333,Classification
question49,0.7272727272727272,Classification
question4,0.923076923076923,Classification
question50,0.4,Classification
question51,0.9473684210526315,Classification
question53,0.0,Classification
question54,0.7857142857142857,Classification
question56,0.8750000000000001,Classification
question58,0.5714285714285714,Classification
question60,0.8571428571428572,Classification
question61,0.1818181818181818,Classification
question64,0.8,Classification
question65,0.5294117647058824,Classification
question66,0.8837209302325582,Classification
question67,0.4615384615384615,Classification
question69,0.8444444444444444,Classification
question6,0.14285714285714288,Classification
question70,0.7058823529411765,Classification
question71,0.782608695652174,Classification
question72,0.4,Classification
question73,0.7999999999999999,Classification
question75,0.5454545454545455,Classification
question77,0.8421052631578947,Classification
question78,0.7647058823529412,Classification
question80,0.8085106382978723,Classification
question81,0.888888888888889,Classification
question83,0.9375,Classification
question85,0.761904761904762,Classification
question86,0.5,Classification
question87,0.8955223880597014,Classification
question88,0.8260869565217392,Classification
question89,0.4,Classification
question8,0.0,Classification
question90,0.6382978723404256,Classification
question92,0.5714285714285714,Classification
question93,0.28571428571428575,Classification
question95,0.5,Classification
question96,0.3571428571428571,Classification
question99,0.9387755102040817,Classification
question0,0.2857142857142857,Clustering
question100,0.7000000000000001,Clustering
question101,0.0909090909090909,Clustering
question104,0.6153846153846153,Clustering
question105,0.06896551724137931,Clustering
question107,0.5882352941176471,Clustering
question108,0.07692307692307693,Clustering
question10,0.18181818181818182,Clustering
question111,0.15384615384615385,Clustering
question112,0.6111111111111113,Clustering
question118,0.07692307692307693,Clustering
question119,0.18181818181818182,Clustering
question11,0.2631578947368421,Clustering
question120,0.14285714285714288,Clustering
question122,0.07999999999999999,Clustering
question123,0.0909090909090909,Clustering
question126,0.7000000000000001,Clustering
question127,0.75,Clustering
question128,0.07999999999999999,Clustering
question12,0.7804878048780487,Clustering
question130,0.06451612903225806,Clustering
question131,0.9473684210526316,Clustering
question132,0.3333333333333333,Clustering
question133,0.45454545454545453,Clustering
question134,0.41666666666666663,Clustering
question13,0.21875000000000003,Clustering
question14,0.6829268292682926,Clustering
question17,0.18181818181818182,Clustering
question18,0.18181818181818182,Clustering
question19,0.4,Clustering
question21,0.4,Clustering
question23,0.06451612903225806,Clustering
question25,0.888888888888889,Clustering
question26,0.9285714285714286,Clustering
question27,0.15384615384615385,Clustering
question30,0.5365853658536586,Clustering
question31,0.10526315789473684,Clustering
question32,0.4444444444444445,Clustering
question33,0.7272727272727273,Clustering
question38,0.10526315789473684,Clustering
question39,0.6,Clustering
question3,0.13333333333333333,Clustering
question41,0.8235294117647058,Clustering
question42,0.4615384615384615,Clustering
question44,0.34782608695652173,Clustering
question45,0.16666666666666669,Clustering
question49,0.5,Clustering
question4,0.5116279069767441,Clustering
question50,0.2608695652173913,Clustering
question51,0.7499999999999999,Clustering
question53,0.3076923076923077,Clustering
question54,0.8125,Clustering
question56,0.8627450980392156,Clustering
question58,0.5714285714285715,Clustering
question60,0.8292682926829269,Clustering
question61,0.10526315789473684,Clustering
question64,0.4,Clustering
question65,0.6206896551724137,Clustering
question66,0.6666666666666666,Clustering
question67,0.2222222222222222,Clustering
question69,0.6486486486486487,Clustering
question6,0.14285714285714288,Clustering
question70,0.7499999999999999,Clustering
question71,0.6666666666666666,Clustering
question72,0.2222222222222222,Clustering
question73,0.625,Clustering
question75,0.4827586206896552,Clustering
question77,0.2857142857142857,Clustering
question78,0.7058823529411764,Clustering
question80,0.8,Clustering
question81,0.41666666666666663,Clustering
question83,0.45000000000000007,Clustering
question85,0.19999999999999998,Clustering
question86,0.09999999999999999,Clustering
question87,0.2857142857142857,Clustering
question88,0.09523809523809523,Clustering
question89,0.2222222222222222,Clustering
question8,0.3809523809523809,Clustering
question90,0.7906976744186046,Clustering
question92,0.13333333333333333,Clustering
question93,0.5714285714285713,Clustering
question95,0.3809523809523809,Clustering
question96,0.5945945945945945,Clustering
question99,0.6842105263157894,Clustering
question0,0.2857142857142857,Combination
question100,0.6666666666666666,Combination
question101,0.0909090909090909,Combination
question104,0.25806451612903225,Combination
question105,0.18181818181818182,Combination
question107,0.5882352941176471,Combination
question108,0.07692307692307693,Combination
question10,0.18181818181818182,Combination
question111,0.15384615384615385,Combination
question112,0.6111111111111113,Combination
question118,0.07692307692307693,Combination
question119,0.18181818181818182,Combination
question11,0.16666666666666666,Combination
question120,0.14285714285714288,Combination
question122,0.07999999999999999,Combination
question123,0.0909090909090909,Combination
question126,0.6976744186046512,Combination
question127,0.7999999999999999,Combination
question128,0.07999999999999999,Combination
question12,0.75,Combination
question130,0.06451612903225806,Combination
question131,0.8648648648648648,Combination
question132,0.4,Combination
question133,0.4347826086956522,Combination
question134,0.5384615384615384,Combination
question13,0.21875000000000003,Combination
question14,0.6829268292682926,Combination
question17,0.18181818181818182,Combination
question18,0.18181818181818182,Combination
question19,0.4,Combination
question21,0.4,Combination
question23,0.06451612903225806,Combination
question25,0.8372093023255814,Combination
question26,1.0,Combination
question27,0.15384615384615385,Combination
question30,0.5853658536585366,Combination
question31,0.10526315789473684,Combination
question32,0.6060606060606061,Combination
question33,0.7272727272727273,Combination
question38,0.10526315789473684,Combination
question39,0.5945945945945945,Combination
question3,0.13333333333333333,Combination
question41,0.7,Combination
question42,0.4615384615384615,Combination
question44,0.3076923076923077,Combination
question45,0.16666666666666669,Combination
question49,0.6363636363636364,Combination
question4,0.7346938775510204,Combination
question50,0.33333333333333337,Combination
question51,0.7499999999999999,Combination
question53,0.32,Combination
question54,0.5833333333333334,Combination
question56,0.8679245283018867,Combination
question58,0.5384615384615384,Combination
question60,0.4999999999999999,Combination
question61,0.10526315789473684,Combination
question64,0.6666666666666667,Combination
question65,0.6428571428571429,Combination
question66,0.7058823529411764,Combination
question67,0.2222222222222222,Combination
question69,0.8444444444444444,Combination
question6,0.14285714285714288,Combination
question70,0.6285714285714286,Combination
question71,0.6875000000000001,Combination
question72,0.2222222222222222,Combination
question73,0.5714285714285714,Combination
question75,0.4827586206896552,Combination
question77,0.5454545454545454,Combination
question78,0.7058823529411764,Combination
question80,0.7619047619047619,Combination
question81,0.5384615384615384,Combination
question83,0.5581395348837209,Combination
question85,0.19999999999999998,Combination
question86,0.09999999999999999,Combination
question87,0.37837837837837834,Combination
question88,0.09523809523809523,Combination
question89,0.2222222222222222,Combination
question8,0.3809523809523809,Combination
question90,0.7916666666666667,Combination
question92,0.13333333333333333,Combination
question93,0.6086956521739131,Combination
question95,0.5,Combination
question96,0.606060606060606,Combination
question99,0.7179487179487181,Combination
