dataset,score,type
question0,1.0,Classification
question100,1.0,Classification
question101,1.0,Classification
question104,0.84,Classification
question105,0.9629629629629629,Classification
question107,0.7857142857142857,Classification
question108,0.8076923076923077,Classification
question10,0.6666666666666666,Classification
question111,0.3333333333333333,Classification
question112,0.6666666666666666,Classification
question118,0.6756756756756757,Classification
question119,1.0,Classification
question11,0.8333333333333334,Classification
question120,1.0,Classification
question122,0.6785714285714286,Classification
question123,1.0,Classification
question126,0.7222222222222222,Classification
question127,0.0,Classification
question128,0.696969696969697,Classification
question12,0.9444444444444444,Classification
question130,0.8108108108108109,Classification
question131,1.0,Classification
question132,0.0,Classification
question133,0.8181818181818182,Classification
question134,0.4375,Classification
question13,0.98,Classification
question14,1.0,Classification
question17,0.8,Classification
question18,1.0,Classification
question19,1.0,Classification
question21,0.0,Classification
question23,0.8333333333333334,Classification
question25,1.0,Classification
question26,1.0,Classification
question27,0.5,Classification
question30,0.8285714285714286,Classification
question31,1.0,Classification
question32,0.5555555555555556,Classification
question33,1.0,Classification
question38,0.7,Classification
question39,0.5,Classification
question3,0.7,Classification
question41,1.0,Classification
question42,0.0,Classification
question44,0.0,Classification
question45,0.42857142857142855,Classification
question49,0.7142857142857143,Classification
question4,0.8108108108108109,Classification
question50,1.0,Classification
question51,0.9,Classification
question53,0.0,Classification
question54,0.9166666666666666,Classification
question56,0.92,Classification
question58,0.0,Classification
question60,0.59375,Classification
question61,0.8,Classification
question64,0.7272727272727273,Classification
question65,0.9,Classification
question66,0.7692307692307693,Classification
question67,0.0,Classification
question69,0.95,Classification
question6,1.0,Classification
question70,0.9,Classification
question71,0.6111111111111112,Classification
question72,1.0,Classification
question73,0.5714285714285714,Classification
question75,0.7037037037037037,Classification
question77,0.9,Classification
question78,0.8125,Classification
question80,0.7368421052631579,Classification
question81,0.875,Classification
question83,0.8823529411764706,Classification
question85,0.6363636363636364,Classification
question86,0.6363636363636364,Classification
question87,0.8108108108108109,Classification
question88,0.8888888888888888,Classification
question89,1.0,Classification
question8,0.0,Classification
question90,0.7037037037037037,Classification
question92,0.7777777777777778,Classification
question93,1.0,Classification
question95,0.0,Classification
question96,0.7142857142857143,Classification
question99,0.9583333333333334,Classification
question0,1.0,Clustering
question100,0.6363636363636364,Clustering
question101,1.0,Clustering
question104,1.0,Clustering
question105,0.6,Clustering
question107,0.9090909090909091,Clustering
question108,1.0,Clustering
question10,1.0,Clustering
question111,1.0,Clustering
question112,0.6470588235294118,Clustering
question118,1.0,Clustering
question119,1.0,Clustering
question11,0.7142857142857143,Clustering
question120,1.0,Clustering
question122,1.0,Clustering
question123,1.0,Clustering
question126,1.0,Clustering
question127,0.6666666666666666,Clustering
question128,1.0,Clustering
question12,0.9333333333333333,Clustering
question130,1.0,Clustering
question131,1.0,Clustering
question132,0.2857142857142857,Clustering
question133,1.0,Clustering
question134,0.35714285714285715,Clustering
question13,0.5,Clustering
question14,0.9285714285714286,Clustering
question17,1.0,Clustering
question18,1.0,Clustering
question19,1.0,Clustering
question21,1.0,Clustering
question23,1.0,Clustering
question25,1.0,Clustering
question26,1.0,Clustering
question27,1.0,Clustering
question30,0.9166666666666666,Clustering
question31,1.0,Clustering
question32,0.46153846153846156,Clustering
question33,1.0,Clustering
question38,1.0,Clustering
question39,0.48,Clustering
question3,1.0,Clustering
question41,0.7,Clustering
question42,0.3,Clustering
question44,0.21052631578947367,Clustering
question45,1.0,Clustering
question49,1.0,Clustering
question4,0.8461538461538461,Clustering
question50,0.15789473684210525,Clustering
question51,0.9230769230769231,Clustering
question53,0.3076923076923077,Clustering
question54,0.9166666666666666,Clustering
question56,0.9565217391304348,Clustering
question58,0.5333333333333333,Clustering
question60,0.8095238095238095,Clustering
question61,1.0,Clustering
question64,1.0,Clustering
question65,1.0,Clustering
question66,1.0,Clustering
