dataset,score,type
question0,0.16666666666666666,Classification
question100,0.2222222222222222,Classification
question101,0.9523809523809523,Classification
question104,0.8518518518518519,Classification
question105,1.0,Classification
question107,0.9565217391304348,Classification
question108,1.0,Classification
question10,0.0,Classification
question111,0.3333333333333333,Classification
question112,1.0,Classification
question118,1.0,Classification
question119,0.6,Classification
question11,1.0,Classification
question120,0.15384615384615385,Classification
question122,0.6666666666666666,Classification
question123,0.8095238095238095,Classification
question126,1.0,Classification
question127,0.0,Classification
question128,1.0,Classification
question12,1.0,Classification
question130,1.0,Classification
question131,0.9,Classification
question132,0.2,Classification
question133,0.058823529411764705,Classification
question134,0.3,Classification
question13,0.98,Classification
question14,1.0,Classification
question17,0.4,Classification
question18,0.0,Classification
question19,0.0,Classification
question21,0.5,Classification
question23,1.0,Classification
question25,0.9,Classification
question26,0.8,Classification
question27,0.16666666666666666,Classification
question30,1.0,Classification
question31,0.9444444444444444,Classification
question32,0.6428571428571429,Classification
question33,0.9285714285714286,Classification
question38,0.6111111111111112,Classification
question39,0.6666666666666666,Classification
question3,0.35714285714285715,Classification
question41,0.7,Classification
question42,0.16666666666666666,Classification
question44,0.0,Classification
question45,0.7272727272727273,Classification
question49,0.6666666666666666,Classification
question4,1.0,Classification
question50,0.25,Classification
question51,0.9473684210526315,Classification
question53,0.15384615384615385,Classification
question54,0.6875,Classification
question56,0.7857142857142857,Classification
question58,0.46153846153846156,Classification
question60,0.5,Classification
question61,0.05555555555555555,Classification
question64,0.9583333333333334,Classification
question65,0.5555555555555556,Classification
question66,0.8636363636363636,Classification
question67,0.375,Classification
question69,0.76,Classification
question6,0.46153846153846156,Classification
question70,0.6,Classification
question71,0.5714285714285714,Classification
question72,0.125,Classification
question73,0.7368421052631579,Classification
question75,0.45454545454545453,Classification
question77,0.8095238095238095,Classification
question78,0.8,Classification
question80,0.7619047619047619,Classification
question81,0.5714285714285714,Classification
question83,1.0,Classification
question85,0.8888888888888888,Classification
question86,0.5555555555555556,Classification
question87,1.0,Classification
question88,0.7,Classification
question89,0.125,Classification
question8,0.0,Classification
question90,0.9047619047619048,Classification
question92,1.0,Classification
question93,0.2727272727272727,Classification
question95,0.0,Classification
question96,0.4666666666666667,Classification
question99,1.0,Classification
question0,0.16666666666666666,Clustering
question100,0.7777777777777778,Clustering
question101,0.047619047619047616,Clustering
question104,0.4444444444444444,Clustering
question105,0.07692307692307693,Clustering
question107,0.43478260869565216,Clustering
question108,0.04,Clustering
question10,0.1,Clustering
question111,0.08333333333333333,Clustering
question112,0.5789473684210527,Clustering
question118,0.04,Clustering
question119,0.1,Clustering
question11,0.16129032258064516,Clustering
question120,0.07692307692307693,Clustering
question122,0.041666666666666664,Clustering
question123,0.047619047619047616,Clustering
question126,0.5384615384615384,Clustering
question127,0.8571428571428571,Clustering
question128,0.041666666666666664,Clustering
question12,0.5833333333333334,Clustering
question130,0.03333333333333333,Clustering
question131,0.9,Clustering
question132,0.4,Clustering
question133,0.29411764705882354,Clustering
question134,0.5,Clustering
question13,0.14,Clustering
question14,0.5185185185185185,Clustering
question17,0.1,Clustering
question18,0.1,Clustering
question19,0.25,Clustering
question21,0.25,Clustering
question23,0.03333333333333333,Clustering
question25,0.8,Clustering
question26,0.8666666666666667,Clustering
question27,0.08333333333333333,Clustering
question30,0.3793103448275862,Clustering
question31,0.05555555555555555,Clustering
question32,0.42857142857142855,Clustering
question33,0.5,Clustering
question38,0.05555555555555555,Clustering
question39,0.8,Clustering
question3,0.07142857142857142,Clustering
question41,0.7,Clustering
question42,1.0,Clustering
question44,1.0,Clustering
question45,0.09090909090909091,Clustering
question49,0.4,Clustering
question4,0.36666666666666664,Clustering
question50,0.75,Clustering
question51,0.631578947368421,Clustering
question53,0.3076923076923077,Clustering
question54,0.8125,Clustering
question56,0.7857142857142857,Clustering
question58,0.5384615384615384,Clustering
question60,0.85,Clustering
question61,0.05555555555555555,Clustering
question64,0.25,Clustering
question65,0.5,Clustering
question66,0.5,Clustering
question67,0.125,Clustering
question69,0.48,Clustering
question6,0.07692307692307693,Clustering
question70,0.6,Clustering
question71,0.7142857142857143,Clustering
question72,0.125,Clustering
question73,0.5263157894736842,Clustering
question75,0.3181818181818182,Clustering
question77,0.19047619047619047,Clustering
question78,0.6,Clustering
question80,0.7619047619047619,Clustering
question81,0.35714285714285715,Clustering
question83,0.3,Clustering
question85,0.1111111111111111,Clustering
question86,0.05555555555555555,Clustering
question87,0.16666666666666666,Clustering
question88,0.05,Clustering
question89,0.125,Clustering
question8,0.6666666666666666,Clustering
question90,0.8095238095238095,Clustering
question92,0.07142857142857142,Clustering
question93,0.18181818181818182,Clustering
question95,0.6666666666666666,Clustering
question96,0.7333333333333333,Clustering
question99,0.5416666666666666,Clustering
question0,0.16666666666666666,Combination
question100,0.7777777777777778,Combination
question101,0.2857142857142857,Combination
question104,0.14814814814814814,Combination
question105,0.11538461538461539,Combination
question107,0.43478260869565216,Combination
question108,0.04,Combination
question10,0.1,Combination
question111,0.08333333333333333,Combination
question112,0.5789473684210527,Combination
question118,0.04,Combination
question119,0.1,Combination
question11,0.0967741935483871,Combination
question120,0.07692307692307693,Combination
question122,0.041666666666666664,Combination
question123,0.6666666666666666,Combination
question126,0.5769230769230769,Combination
question127,0.8571428571428571,Combination
question128,0.041666666666666664,Combination
question12,0.625,Combination
question130,0.03333333333333333,Combination
question131,0.8,Combination
question132,0.6,Combination
question133,0.29411764705882354,Combination
question134,0.7,Combination
question13,0.14,Combination
question14,0.5185185185185185,Combination
question17,0.1,Combination
question18,0.1,Combination
question19,0.25,Combination
question21,0.25,Combination
question23,0.03333333333333333,Combination
question25,0.9,Combination
question26,1.0,Combination
question27,0.75,Combination
question30,0.41379310344827586,Combination
question31,0.05555555555555555,Combination
question32,0.7142857142857143,Combination
question33,0.5714285714285714,Combination
question38,0.05555555555555555,Combination
question39,0.7333333333333333,Combination
question3,0.07142857142857142,Combination
question41,0.7,Combination
question42,1.0,Combination
question44,1.0,Combination
question45,0.45454545454545453,Combination
question49,0.4666666666666667,Combination
question4,0.6,Combination
question50,1.0,Combination
question51,0.631578947368421,Combination
question53,0.3076923076923077,Combination
question54,0.4375,Combination
question56,0.8214285714285714,Combination
question58,0.5384615384615384,Combination
question60,0.35,Combination
question61,0.05555555555555555,Combination
question64,0.5416666666666666,Combination
question65,0.5,Combination
question66,0.5454545454545454,Combination
question67,0.125,Combination
question69,0.76,Combination
question6,0.07692307692307693,Combination
question70,0.7333333333333333,Combination
question71,0.7857142857142857,Combination
question72,0.125,Combination
question73,0.5263157894736842,Combination
question75,0.3181818181818182,Combination
question77,0.42857142857142855,Combination
question78,0.6,Combination
question80,0.7619047619047619,Combination
question81,0.5,Combination
question83,0.4,Combination
question85,0.1111111111111111,Combination
question86,0.05555555555555555,Combination
question87,0.23333333333333334,Combination
question88,0.05,Combination
question89,0.125,Combination
question8,0.6666666666666666,Combination
question90,0.9047619047619048,Combination
question92,0.07142857142857142,Combination
question93,0.6363636363636364,Combination
question95,0.5,Combination
question96,0.6666666666666666,Combination
question99,0.5833333333333334,Combination
